problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,0.00%,16.33%,0.000,0,,0,0,0,0,0,0
karte,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.060,1.609375,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,0.00%,11.11%,0.000,0,,0,0,0,0,0,0
zid,TIME_LIMIT_EXCEEDED,38,54.29%,66.67%,1.210,3.61328125,,17,21,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,7,7.78%,18.52%,2.430,5.48046875,,7,0,0,0,0,0
crtez,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.080,0.00390625,,13,19,18,0,0,0
benzinska,RUNTIME_ERROR,0,0.00%,8.00%,0.080,2.90625,,0,0,0,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
tura,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,0.00%,5.13%,0.000,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,6,8.57%,12.24%,0.100,96.94921875,,6,0,0,0,0,0
razlicitost,RUNTIME_ERROR,25,27.78%,37.21%,0.220,4.453125,,25,0,0,0,0,0
blistavost,RUNTIME_ERROR,0,0.00%,3.28%,0.060,0.00390625,,0,0,0,0,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
osobna,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,TIME_LIMIT_EXCEEDED,25,35.71%,27.08%,5.970,2.84765625,,0,25,0,0,0,0
hijerarhija,TIME_LIMIT_EXCEEDED,0,0.00%,25.00%,3.620,42.60546875,,0,0,0,0,0,0
uciteljica,RUNTIME_ERROR,0,0.00%,1.64%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,0.00%,1.61%,0.120,13.73046875,,0,0,0,0,0,0
TOTAL,,151,,13.58%,,,4.00%,,,,,,
