competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Codestral-22B-v0.1,3024,10.22%,0.31,59.46,3.38%
APIO-2023,Codestral-22B-v0.1,26,22.29%,0.67,820.62,0.00%
APIO-2024,Codestral-22B-v0.1,0,0.00%,0.00,0.00,0.00%
BOI-2023,Codestral-22B-v0.1,8,7.75%,0.02,0.86,0.00%
BOI-2024,Codestral-22B-v0.1,1,1.98%,0.22,3.40,0.00%
BOI-2025,Codestral-22B-v0.1,0,1.54%,0.26,8.09,0.00%
CCO-2023,Codestral-22B-v0.1,65,31.25%,0.11,3.66,18.75%
CCO-2024,Codestral-22B-v0.1,91,38.79%,0.06,4.39,37.50%
CEOI-2023,Codestral-22B-v0.1,0,0.44%,0.80,0.00,0.00%
CEOI-2024,Codestral-22B-v0.1,16,20.27%,1.75,8.00,0.00%
COCI-2023,Codestral-22B-v0.1,209,15.66%,0.45,1.57,8.00%
COCI-2024,Codestral-22B-v0.1,197,18.53%,0.18,15.49,8.00%
COCI-2025,Codestral-22B-v0.1,151,13.58%,0.56,6.97,4.00%
EGOI-2023,Codestral-22B-v0.1,19,6.57%,0.02,1.95,0.00%
EGOI-2024,Codestral-22B-v0.1,0,3.27%,0.04,4.42,0.00%
EJOI-2023,Codestral-22B-v0.1,0,0.27%,0.03,14.55,0.00%
EJOI-2024,Codestral-22B-v0.1,38,9.30%,0.63,1.59,0.00%
IATI-2024,Codestral-22B-v0.1,0,2.25%,0.07,8.26,0.00%
IOI-2023,Codestral-22B-v0.1,0,0.66%,0.11,2.09,0.00%
IOI-2024,Codestral-22B-v0.1,0,2.67%,0.35,815.46,0.00%
JOI-2023,Codestral-22B-v0.1,11,11.02%,0.41,65.24,0.00%
JOI-2024,Codestral-22B-v0.1,108,7.17%,0.07,0.74,5.00%
NOINordic-2023,Codestral-22B-v0.1,29,39.46%,0.33,18.38,0.00%
NOINordic-2024,Codestral-22B-v0.1,0,0.00%,0.00,0.00,0.00%
NOINordic-2025,Codestral-22B-v0.1,0,1.83%,0.14,13.58,0.00%
OOI-2023,Codestral-22B-v0.1,325,26.29%,0.36,1.68,11.76%
OOI-2024,Codestral-22B-v0.1,282,17.23%,0.80,3.03,11.76%
RMI-2023,Codestral-22B-v0.1,0,0.00%,0.00,0.00,0.00%
RMI-2024,Codestral-22B-v0.1,32,3.31%,0.09,0.86,0.00%
USACO-2023,Codestral-22B-v0.1,519,4.72%,0.43,7.01,0.00%
USACO-2024,Codestral-22B-v0.1,706,5.84%,0.45,10.36,0.00%
USACO-2025,Codestral-22B-v0.1,191,2.84%,0.17,0.90,0.00%
