solution,status,score,relative_score,%test passed,time,memory,subtask_0
j1_DeepSeek-Coder-V2-Lite-Instruct_3.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_DeepSeek-Coder-V2-Lite-Instruct_3.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_DeepSeek-Coder-V2-Lite-Instruct_3.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_DeepSeek-Coder-V2-Lite-Instruct_3.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_DeepSeek-Coder-V2-Lite-Instruct_3.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_DeepSeek-Coder-V2-Lite-Instruct_4.cpp,ACCEPTED,15,100.00%,100.00%,0.030,0,15
j1_DeepSeek-Coder-V2-Lite-Instruct_4.cpp,ACCEPTED,15,100.00%,100.00%,0.030,0,15
j1_DeepSeek-Coder-V2-Lite-Instruct_4.cpp,ACCEPTED,15,100.00%,100.00%,0.030,0,15
j1_DeepSeek-Coder-V2-Lite-Instruct_4.cpp,ACCEPTED,15,100.00%,100.00%,0.030,0,15
j1_DeepSeek-Coder-V2-Lite-Instruct_4.cpp,ACCEPTED,15,100.00%,100.00%,0.030,0,15
j1_DeepSeek-Coder-V2-Lite-Instruct_4.cpp,ACCEPTED,15,100.00%,100.00%,0.030,0,15
