problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,DeepSeek-Coder-V2-Lite-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,DeepSeek-Coder-V2-Lite-Instruct,RUNTIME_ERROR,0,0.00%,24.00%,0.140,0
2023-sp_Passport,DeepSeek-Coder-V2-Lite-Instruct,RUNTIME_ERROR,0,0.00%,17.86%,0.220,2.84765625
2023-sp_Belt_Conveyor,DeepSeek-Coder-V2-Lite-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Council,DeepSeek-Coder-V2-Lite-Instruct,RUNTIME_ERROR,0,0.00%,0.00%,0.410,18.57421875
2023-sp_Mizuyokan_2,DeepSeek-Coder-V2-Lite-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Chorus,DeepSeek-Coder-V2-Lite-Instruct,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0
2023-sp_Cookies,DeepSeek-Coder-V2-Lite-Instruct,RUNTIME_ERROR,0,0.00%,8.89%,0.000,0
2023-sp_Tourism,DeepSeek-Coder-V2-Lite-Instruct,RUNTIME_ERROR,0,0.00%,0.00%,0.210,103.1953125
2023-sp_Super_Dango_Maker,DeepSeek-Coder-V2-Lite-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,DeepSeek-Coder-V2-Lite-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
