problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,TIME_LIMIT_EXCEEDED,0,0.00%,5.61%,2.410,21.92578125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,0,0.00%,0.00%,0.130,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,TIME_LIMIT_EXCEEDED,93,93.00%,96.79%,2.930,9.03125,,0.0,13.0,10.0,0,0,0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,TIME_LIMIT_EXCEEDED,0,0.00%,19.82%,1.200,75.8046875,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,4.00%,39.89%,4.810,5.1484375,,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,0,0.00%,0.00%,0.290,5.68359375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strong_Connectivity_Strikes_Back,RUNTIME_ERROR,66,66.00%,59.52%,0.110,1.55078125,,0.0,0,0,0,0,0,0,0,12.0,13.0,20.0,21.0,0,0,0
Colorful_Diameter,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,3.600,38.19921875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classic_Tree_Problem,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,0,0.00%,61.33%,2.450,104.05078125,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stone_Enthusiast,TIME_LIMIT_EXCEEDED,0,0.00%,1.71%,2.420,3.32421875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,2.410,5.68359375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,ACCEPTED,100,100.00%,100.00%,0.160,7.94921875,,0.0,17.0,0,0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,263,,22.63%,,,5.88%,,,,,,,,,,,,,,,
