problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
2023-open-t1_Ancient_Machine_2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-open-t3_Garden,RUNTIME_ERROR,0,0.00%,28.57%,0.300,5.48046875,,0,0,0,0,0,0,0
2023-sp_Two_Currencies,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Festivals_in_JOI_Kingdom_2,RUNTIME_ERROR,0,0.00%,24.00%,0.150,0,,0,0,0,0,0,0,0
2023-sp_Passport,RUNTIME_ERROR,6,6.00%,43.28%,0.230,8.515625,,6,0,0,0,0,0,0
2023-sp_Belt_Conveyor,RUNTIME_ERROR,0,0.00%,3.23%,0.810,16.734375,,0,0,0,0,0,0,0
2023-sp_Council,TIME_LIMIT_EXCEEDED,16,16.00%,71.95%,3.650,33.265625,,8,8,0,0,0,0,0
2023-sp_Mizuyokan_2,RUNTIME_ERROR,0,0.00%,0.00%,0.260,3.1015625,,0,0,0,0,0,0,0
2023-sp_Chorus,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Cookies,TIME_LIMIT_EXCEEDED,0,0.00%,50.51%,1.220,1.5546875,,0,0,0,0,0,0,0
2023-sp_Tourism,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Super_Dango_Maker,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Security_Guard,RUNTIME_ERROR,0,0.00%,5.95%,0.160,2.84765625,,0,0,0,0,0,0,0
2023-ho-t1_Stone_Arranging_2,RUNTIME_ERROR,0,0.00%,32.10%,0.150,0.00390625,,0,0,0,0,0,0,0
2023-ho-t2_Advertisement_2,ACCEPTED,100,100.00%,100.00%,0.270,4.8125,,10,23,36,31,0,0,0
2023-ho-t3_Maze,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise,RUNTIME_ERROR,0,0.00%,17.91%,0.000,0,,0,0,0,0,0,0,0
2023-ho-t5_Modern_Machine,TIME_LIMIT_EXCEEDED,3,3.00%,45.36%,2.950,2.8046875,,3,0,0,0,0,0,0
TOTAL,,125,,22.26%,,,5.26%,,,,,,,
