problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,0.00%,16.33%,0.050,0,,0,0,0,0,0,0
karte,RUNTIME_ERROR,18,25.71%,53.73%,0.440,0.00390625,,18,0,0,0,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.060,1.73828125,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,0.00%,5.56%,0.060,0,,0,0,0,0,0,0
zid,RUNTIME_ERROR,0,0.00%,0.00%,0.060,0.00390625,,0,0,0,0,0,0
tornjevi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
crtez,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
sah,RUNTIME_ERROR,13,26.00%,26.47%,0.060,1.6171875,,13,0,0,0,0,0
benzinska,RUNTIME_ERROR,0,0.00%,10.00%,0.090,4.39453125,,0,0,0,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,0,0.00%,0.00%,0.060,2.07421875,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.060,1.75390625,,0,0,0,0,0,0
paradoks,MEMORY_LIMIT_EXCEEDED,0,0.00%,5.13%,0.060,1.6875,,0,0,0,0,0,0
igre,RUNTIME_ERROR,0,0.00%,0.00%,0.060,0.00390625,,0,0,0,0,0,0
razlicitost,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
blistavost,RUNTIME_ERROR,0,0.00%,6.56%,0.060,0.00390625,,0,0,0,0,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
osobna,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,TIME_LIMIT_EXCEEDED,45,64.29%,72.92%,5.970,2.84765625,,20,25,0,0,0,0
hijerarhija,RUNTIME_ERROR,0,0.00%,9.72%,0.180,29.2265625,,0,0,0,0,0,0
uciteljica,RUNTIME_ERROR,0,0.00%,1.64%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,0.00%,1.61%,0.080,13.1640625,,0,0,0,0,0,0
TOTAL,,76,,8.65%,,,0.00%,,,,,,
