problem,status,score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8
2024-open-t1_Examination_2,RUNTIME_ERROR,0,5.68%,0.330,27.01953125,,0,0,0,0,0,0,0,0
2024-open-t2_Heat_Stroke,RUNTIME_ERROR,0,20.85%,0.000,0,,0,0,0,0,0,0,0,0
2024-open-t3_Library_3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Fish_3,RUNTIME_ERROR,0,9.21%,0.160,72.296875,,0,0,0,0,0,0,0,0
2024-sp_Ski_2,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Spy_3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Board_Game,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Tricolor_Lights,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Card_Collection,RUNTIME_ERROR,0,6.06%,0.010,0,,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Tower,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Escape_Route_2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Island_Hopping,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Table_Tennis,TIME_LIMIT_EXCEEDED,0,0.46%,1.110,0.00390625,,0,0,0,0,0,0,0,0
2024-ho-t1_Room_Temperature,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-ho-t2_Construction_Project_2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-ho-t3_Marathon_Race_2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-ho-t4_Gift_Exchange,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-ho-t5_Road_Service_2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
TOTAL,,0,2.11%,,,0.00%,,,,,,,,
