competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,222,1371,3072,738,4520,8953,1299,609
APIO-2023,0,0,2,1,3,6,0,12
APIO-2024,0,0,4,1,7,11,0,1
BOI-2023,0,0,14,1,13,19,0,1
BOI-2024,0,0,10,2,8,28,0,0
BOI-2025,0,0,8,0,3,35,2,0
CCO-2023,16,0,24,5,8,69,1,5
CCO-2024,11,0,15,3,16,77,1,5
CEOI-2023,0,0,10,2,17,14,4,1
CEOI-2024,0,0,6,2,13,24,3,0
COCI-2023,2,1,27,6,43,112,6,3
COCI-2024,1,4,19,5,44,124,0,3
COCI-2025,0,0,23,7,34,117,16,3
EGOI-2023,0,0,6,2,4,35,15,2
EGOI-2024,1,0,1,1,10,42,8,1
EJOI-2023,0,0,15,0,12,16,2,3
EJOI-2024,0,0,11,1,12,24,0,0
IATI-2024,0,0,9,3,12,38,24,2
IOI-2023,0,0,1,0,29,10,0,8
IOI-2024,0,0,8,3,16,8,0,13
JOI-2023,0,0,24,5,50,72,5,4
JOI-2024,0,0,10,2,47,81,6,14
NOINordic-2023,0,0,0,1,9,10,4,0
NOINordic-2024,0,0,1,0,5,17,1,0
NOINordic-2025,0,0,10,1,8,5,0,0
OOI-2023,3,0,18,7,1,63,41,3
OOI-2024,0,0,13,2,0,63,55,3
RMI-2023,0,0,0,0,40,2,3,3
RMI-2024,0,0,5,2,7,28,6,0
USACO-2023,0,73,60,23,84,141,0,3
USACO-2024,0,87,65,14,74,143,0,1
USACO-2025,0,33,60,16,103,73,0,3
