problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,Llama-4-Scout,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,Llama-4-Scout,RUNTIME_ERROR,0,0.00%,24.00%,0.150,0
2023-sp_Passport,Llama-4-Scout,RUNTIME_ERROR,0,0.00%,9.43%,0.140,0
2023-sp_Belt_Conveyor,Llama-4-Scout,RUNTIME_ERROR,1,1.00%,12.90%,0.620,6.140625
2023-sp_Council,Llama-4-Scout,TIME_LIMIT_EXCEEDED,0,0.00%,5.61%,3.600,4.65234375
2023-sp_Mizuyokan_2,Llama-4-Scout,RUNTIME_ERROR,0,0.00%,0.00%,0.170,2.33203125
2023-sp_Chorus,Llama-4-Scout,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0
2023-sp_Cookies,Llama-4-Scout,RUNTIME_ERROR,0,0.00%,8.89%,0.140,0
2023-sp_Tourism,Llama-4-Scout,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Super_Dango_Maker,Llama-4-Scout,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,Llama-4-Scout,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Bitaro’s_travel,Llama-4-Scout,TIME_LIMIT_EXCEEDED,5,5.00%,56.82%,2.500,2.84765625
