problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,0.00%,3.77%,0.110,21.8046875,,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,1.810,0.00390625,,0.0,13.0,10.0,7.0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,0.00%,22.81%,0.250,14.94921875,,0.0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Strong_Connectivity_Strikes_Back,RUNTIME_ERROR,66,66.00%,57.26%,0.000,0,,0,0,0,0,0,12.0,13.0,20.0,21.0,0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,18,18.00%,53.49%,8.430,11.9375,,0.0,10.0,0,0,8.0,0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,17,17.00%,35.65%,3.710,69.36328125,,0.0,10.0,0,0,7.0,0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,RUNTIME_ERROR,0,0.00%,55.53%,0.220,1.59375,,0.0,0,0,0,0,0,0,0,0,0,0,0
Stone_Enthusiast,RUNTIME_ERROR,0,0.00%,1.71%,0.280,7.3203125,,0,0,0,0,0,0,0,0,0,0,0,0
Egors_Gaming_Addiction,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,ACCEPTED,100,100.00%,100.00%,0.140,9.18359375,,0.0,17.0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,301,,25.31%,,,11.76%,,,,,,,,,,,,
