competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Qwen2.5-72B,5223,16.67%,0.50,63.09,4.39%
APIO-2023,Qwen2.5-72B,11,14.97%,0.61,819.04,0.00%
APIO-2024,Qwen2.5-72B,5,5.95%,0.14,6.85,0.00%
BOI-2023,Qwen2.5-72B,20,22.81%,0.02,1.95,0.00%
BOI-2024,Qwen2.5-72B,32,22.28%,0.25,6.10,0.00%
BOI-2025,Qwen2.5-72B,0,1.82%,0.12,16.52,0.00%
CCO-2023,Qwen2.5-72B,72,36.75%,0.48,101.08,18.75%
CCO-2024,Qwen2.5-72B,98,44.05%,0.45,88.77,40.00%
CEOI-2023,Qwen2.5-72B,0,0.79%,0.05,2.83,0.00%
CEOI-2024,Qwen2.5-72B,10,18.37%,0.33,192.49,0.00%
COCI-2023,Qwen2.5-72B,0,0.00%,0.00,0.00,0.00%
COCI-2024,Qwen2.5-72B,330,25.49%,0.75,17.65,12.00%
COCI-2025,Qwen2.5-72B,384,27.74%,0.47,15.30,16.00%
EGOI-2023,Qwen2.5-72B,19,7.66%,0.05,2.37,0.00%
EGOI-2024,Qwen2.5-72B,72,22.30%,0.29,0.68,0.00%
EJOI-2023,Qwen2.5-72B,5,6.34%,0.25,17.65,0.00%
EJOI-2024,Qwen2.5-72B,78,19.92%,1.12,7.46,0.00%
IATI-2024,Qwen2.5-72B,25,4.34%,0.28,4.73,0.00%
IOI-2023,Qwen2.5-72B,5,2.36%,0.02,1.28,0.00%
IOI-2024,Qwen2.5-72B,42,17.21%,0.54,375.87,0.00%
JOI-2023,Qwen2.5-72B,14,10.90%,0.40,4.19,0.00%
JOI-2024,Qwen2.5-72B,17,7.51%,0.28,1.75,0.00%
NOINordic-2023,Qwen2.5-72B,107,63.09%,0.45,3.52,33.33%
NOINordic-2024,Qwen2.5-72B,35,27.84%,0.48,7.54,0.00%
NOINordic-2025,Qwen2.5-72B,0,5.38%,3.67,2.91,0.00%
OOI-2023,Qwen2.5-72B,294,23.02%,0.29,36.41,5.88%
OOI-2024,Qwen2.5-72B,313,28.09%,0.94,16.64,5.88%
RMI-2023,Qwen2.5-72B,24,10.81%,0.66,56.26,0.00%
RMI-2024,Qwen2.5-72B,20,10.24%,0.52,97.09,0.00%
USACO-2023,Qwen2.5-72B,1844,14.04%,0.63,6.82,4.17%
USACO-2024,Qwen2.5-72B,966,8.57%,0.63,20.40,0.00%
USACO-2025,Qwen2.5-72B,381,6.27%,0.41,23.63,0.00%
