competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Qwen2.5-Coder-14B-Instruct,5750,15.86%,0.59,94.37,4.48%
APIO-2023,Qwen2.5-Coder-14B-Instruct,11,15.38%,1.19,1632.21,0.00%
APIO-2024,Qwen2.5-Coder-14B-Instruct,0,1.56%,0.09,4.55,0.00%
BOI-2023,Qwen2.5-Coder-14B-Instruct,17,13.78%,0.01,1.95,0.00%
BOI-2024,Qwen2.5-Coder-14B-Instruct,21,13.27%,0.23,1.38,0.00%
BOI-2025,Qwen2.5-Coder-14B-Instruct,0,3.58%,0.07,8.33,0.00%
CCO-2023,Qwen2.5-Coder-14B-Instruct,71,35.66%,0.60,75.25,18.75%
CCO-2024,Qwen2.5-Coder-14B-Instruct,101,44.67%,0.75,15.53,40.00%
CEOI-2023,Qwen2.5-Coder-14B-Instruct,0,0.22%,0.02,2.63,0.00%
CEOI-2024,Qwen2.5-Coder-14B-Instruct,16,20.93%,1.82,9.60,0.00%
COCI-2023,Qwen2.5-Coder-14B-Instruct,380,25.81%,0.57,55.15,12.00%
COCI-2024,Qwen2.5-Coder-14B-Instruct,244,19.83%,0.38,3.16,12.00%
COCI-2025,Qwen2.5-Coder-14B-Instruct,252,19.91%,0.49,2.29,8.00%
EGOI-2023,Qwen2.5-Coder-14B-Instruct,42,8.41%,0.04,5.05,0.00%
EGOI-2024,Qwen2.5-Coder-14B-Instruct,16,14.41%,0.20,1.20,0.00%
EJOI-2023,Qwen2.5-Coder-14B-Instruct,5,3.86%,0.43,6.36,0.00%
EJOI-2024,Qwen2.5-Coder-14B-Instruct,68,18.67%,1.42,13.77,0.00%
IATI-2024,Qwen2.5-Coder-14B-Instruct,45,4.75%,0.36,5.06,0.00%
IOI-2023,Qwen2.5-Coder-14B-Instruct,5,6.12%,0.60,7.80,0.00%
IOI-2024,Qwen2.5-Coder-14B-Instruct,25,14.74%,0.58,819.71,0.00%
JOI-2023,Qwen2.5-Coder-14B-Instruct,29,15.02%,0.47,3.71,0.00%
JOI-2024,Qwen2.5-Coder-14B-Instruct,17,11.54%,0.67,3.20,0.00%
NOINordic-2023,Qwen2.5-Coder-14B-Instruct,59,42.10%,2.02,13.43,0.00%
NOINordic-2024,Qwen2.5-Coder-14B-Instruct,5,12.23%,0.17,4.07,0.00%
NOINordic-2025,Qwen2.5-Coder-14B-Instruct,0,2.28%,0.14,1.65,0.00%
OOI-2023,Qwen2.5-Coder-14B-Instruct,451,35.82%,0.45,2.54,11.76%
OOI-2024,Qwen2.5-Coder-14B-Instruct,376,30.79%,1.31,41.33,17.65%
RMI-2023,Qwen2.5-Coder-14B-Instruct,0,3.46%,0.94,27.56,0.00%
RMI-2024,Qwen2.5-Coder-14B-Instruct,107,22.87%,0.19,79.84,16.67%
USACO-2023,Qwen2.5-Coder-14B-Instruct,1399,10.91%,0.47,35.04,2.08%
USACO-2024,Qwen2.5-Coder-14B-Instruct,1436,11.37%,0.68,17.82,0.00%
USACO-2025,Qwen2.5-Coder-14B-Instruct,552,7.73%,0.84,24.37,0.00%
