competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,654,1540,5840,1392,4007,9296,869,354
APIO-2023,0,0,6,3,10,5,0,0
APIO-2024,0,0,1,1,19,3,0,0
BOI-2023,0,0,2,2,12,32,0,0
BOI-2024,0,0,19,2,5,22,0,0
BOI-2025,0,0,3,3,2,38,2,0
CCO-2023,22,0,32,6,12,51,3,2
CCO-2024,34,0,14,5,7,53,0,15
CEOI-2023,0,0,7,0,25,16,0,0
CEOI-2024,0,0,4,0,8,35,1,0
COCI-2023,10,0,43,19,27,85,7,9
COCI-2024,0,0,0,0,0,0,0,0
COCI-2025,6,0,35,9,21,111,15,3
EGOI-2023,0,0,9,2,4,40,9,0
EGOI-2024,0,0,1,2,10,43,8,0
EJOI-2023,0,0,26,0,10,9,3,0
EJOI-2024,0,0,17,1,6,24,0,0
IATI-2024,0,6,27,8,5,26,8,8
IOI-2023,0,0,7,0,15,25,0,1
IOI-2024,0,0,9,8,8,20,0,3
JOI-2023,0,0,21,1,39,96,2,1
JOI-2024,0,0,23,7,53,75,1,1
NOINordic-2023,0,0,2,2,2,17,1,0
NOINordic-2024,0,0,2,0,6,15,1,0
NOINordic-2025,0,0,7,0,4,12,0,1
OOI-2023,5,0,37,14,0,66,14,0
OOI-2024,5,0,33,7,0,64,27,0
RMI-2023,0,0,1,0,38,4,5,0
RMI-2024,2,0,3,3,13,22,5,0
USACO-2023,1,72,115,42,45,108,0,1
USACO-2024,0,70,156,22,54,80,0,2
USACO-2025,0,41,99,19,71,57,0,1
