problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.000,0,,0,0,0,0,0,0
karte,TIME_LIMIT_EXCEEDED,11,37.31%,1.210,0.00390625,,0,11,0,0,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,5.56%,0.000,0,,0,0,0,0,0,0
zid,TIME_LIMIT_EXCEEDED,38,66.67%,1.110,2.84375,,17,21,0,0,0,0
tornjevi,ACCEPTED,90,100.00%,0.490,81.21875,,7,11,17,29,26,0
crtez,RUNTIME_ERROR,0,0.00%,0.070,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,0.100,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.120,6.18359375,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.070,1.7578125,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,5.13%,0.000,0,,0,0,0,0,0,0
igre,TIME_LIMIT_EXCEEDED,42,73.47%,2.250,1.55859375,,6,13,23,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,25,37.21%,2.210,4.39453125,,25,0,0,0,0,0
blistavost,RUNTIME_ERROR,55,40.98%,0.080,1.5546875,,0,0,55,0,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
osobna,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,RUNTIME_ERROR,20,47.92%,0.100,3.62109375,,20,0,0,0,0,0
hijerarhija,TIME_LIMIT_EXCEEDED,0,25.00%,3.350,5.9375,,0,0,0,0,0,0
uciteljica,TIME_LIMIT_EXCEEDED,0,3.28%,5.510,1.55859375,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,1.61%,0.110,4.39453125,,0,0,0,0,0,0
TOTAL,,401,26.68%,,,12.00%,,,,,,
