problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,TIME_LIMIT_EXCEEDED,0,0.00%,5.61%,2.410,44.3515625,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.350,0.00390625,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,0.00%,13.46%,0.120,6.96484375,,0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,4.00%,47.45%,4.850,6.20703125,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Strong_Connectivity_Strikes_Back,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,18,18.00%,53.49%,8.410,9.03125,,0.0,10.0,0,0,0,8.0,0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,30.00%,53.94%,3.610,43.64453125,,0.0,10.0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Stone_Enthusiast,RUNTIME_ERROR,0,0.00%,1.71%,0.130,2.6796875,,0,0,0,0,0,0,0,0,0,0,0,0,0
Egors_Gaming_Addiction,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,ACCEPTED,100,100.00%,100.00%,0.140,9.45703125,,0.0,17.0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,252,,22.10%,,,11.76%,,,,,,,,,,,,,
