competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,506,1263,5214,1112,6581,8402,2260,7894
APIO-2023,0,0,6,8,0,7,0,3
APIO-2024,0,0,1,3,10,4,0,6
BOI-2023,0,0,0,0,0,0,0,0
BOI-2024,0,0,6,1,3,16,0,22
BOI-2025,0,0,6,2,3,20,4,13
CCO-2023,0,0,0,0,0,0,0,0
CCO-2024,0,0,0,0,0,0,0,0
CEOI-2023,0,0,4,1,14,13,1,15
CEOI-2024,0,0,7,2,14,16,5,4
COCI-2023,12,0,19,5,37,58,2,67
COCI-2024,0,0,0,0,0,0,0,0
COCI-2025,0,0,0,0,0,0,0,0
EGOI-2023,1,0,4,0,6,33,11,9
EGOI-2024,0,0,3,0,8,36,3,14
EJOI-2023,0,0,8,0,26,1,5,8
EJOI-2024,0,0,4,0,12,9,0,23
IATI-2024,0,0,0,0,0,0,0,0
IOI-2023,0,0,3,0,19,18,0,8
IOI-2024,0,0,10,6,14,17,0,1
JOI-2023,0,0,9,2,41,60,6,42
JOI-2024,0,0,0,0,0,0,0,0
JOI-2025,0,0,0,0,0,0,0,0
NOINordic-2023,0,0,2,0,3,10,4,5
NOINordic-2024,0,0,2,0,0,18,0,4
NOINordic-2025,0,0,10,1,5,7,0,1
OOI-2023,4,0,20,13,2,50,46,1
OOI-2024,6,0,27,2,0,36,62,3
RMI-2023,0,0,0,0,0,0,0,0
RMI-2024,0,0,0,0,0,0,0,0
USACO-2023,0,0,0,0,0,0,0,0
USACO-2024,2,50,99,18,96,46,0,73
USACO-2025,0,0,0,0,0,0,0,0
