problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,100.00%,0.130,3.6171875,,15,20,35,0,0
baltazar,TIME_LIMIT_EXCEEDED,15,13.64%,62.50%,4.810,31.9453125,,15,0,0,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.250,17.58984375,,13,17,33,47,0
skrivaca,RUNTIME_ERROR,0,0.00%,0.00%,0.120,15.4765625,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0,0
diskurs,TIME_LIMIT_EXCEEDED,45,64.29%,60.00%,2.420,7.83984375,,20,25,0,0,0
logaritam,ACCEPTED,110,100.00%,100.00%,0.060,0.00390625,,19,26,29,36,0
slasticarnica,RUNTIME_ERROR,0,0.00%,5.00%,0.050,0.00390625,,0,0,0,0,0
zastave,ACCEPTED,110,100.00%,100.00%,0.110,2.0703125,,41,22,47,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,35,50.00%,40.00%,0.050,0.00390625,,15,20,0,0,0
bojanje,RUNTIME_ERROR,0,0.00%,26.67%,0.040,0,,0,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
vrsta,ACCEPTED,110,100.00%,100.00%,0.160,9.0,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.050,0.00390625,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,RUNTIME_ERROR,0,0.00%,4.76%,0.120,0.00390625,,0,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,100.00%,0.120,46.79296875,,20,30,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
berilij,RUNTIME_ERROR,0,0.00%,2.27%,0.120,12.8671875,,0,0,0,0,0
iksevi,ACCEPTED,110,100.00%,100.00%,1.580,39.3359375,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,100.00%,0.510,5.1640625,,11,22,27,18,32
TOTAL,,1135,,56.05%,,,48.00%,,,,,
