problem,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,1,1,-1,-1,-1
dirigent,1,1,1,-1,-1
baltazar,1,0,0,-1,-1
bomboni,1,1,1,1,-1
skrivaca,0,0,0,0,-1
kalendar,1,1,1,-1,-1
diskurs,1,0,0,-1,-1
logaritam,1,1,1,1,-1
slasticarnica,0,0,0,-1,-1
zastave,1,1,1,-1,-1
7krokods,0,0,0,-1,-1
zrinka,1,1,0,0,-1
bojanje,1,1,1,-1,-1
mreza,0,0,0,-1,-1
vrsta,1,1,1,1,-1
tramvaji,1,1,1,-1,-1
ekspert,0,0,0,-1,-1
lampice,0,0,0,0,-1
prijateljice,1,1,1,-1,-1
kruhologija,0,0,-1,-1,-1
desniklik,1,1,1,-1,-1
cokolade,1,0,0,-1,-1
berilij,0,0,0,0,-1
iksevi,1,1,0,-1,-1
neboderi,1,1,1,1,1
