problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8
2023-open-t1_Ancient_Machine_2,RUNTIME_ERROR,0,0.00%,0.00%,0.140,1.48828125,,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton,RUNTIME_ERROR,0,0.00%,0.00%,0.150,1.8671875,,0,0,0,0,0,0,0,0
2023-open-t3_Garden,RUNTIME_ERROR,15,15.00%,41.35%,0.590,1.80859375,,15,0,0,0,0,0,0,0
2023-sp_Two_Currencies,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2023-sp_Festivals_in_JOI_Kingdom_2,RUNTIME_ERROR,0,0.00%,40.00%,0.150,0,,0,0,0,0,0,0,0,0
2023-sp_Passport,RUNTIME_ERROR,6,6.00%,47.14%,0.180,10.5703125,,6,0,0,0,0,0,0,0
2023-sp_Belt_Conveyor,RUNTIME_ERROR,1,1.00%,16.13%,0.710,11.50390625,,1,0,0,0,0,0,0,0
2023-sp_Council,TIME_LIMIT_EXCEEDED,22,22.00%,81.09%,3.650,24.2421875,,8,8,6,0,0,0,0,0
2023-sp_Mizuyokan_2,RUNTIME_ERROR,0,0.00%,0.00%,0.200,6.71484375,,0,0,0,0,0,0,0,0
2023-sp_Chorus,RUNTIME_ERROR,0,0.00%,42.06%,0.000,0,,0,0,0,0,0,0,0,0
2023-sp_Cookies,RUNTIME_ERROR,13,13.00%,70.88%,0.160,2.33203125,,6,7,0,0,0,0,0,0
2023-sp_Tourism,TIME_LIMIT_EXCEEDED,5,5.00%,57.71%,4.800,22.9453125,,5,0,0,0,0,0,0,0
2023-sp_Super_Dango_Maker,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2023-sp_Security_Guard,RUNTIME_ERROR,0,0.00%,5.95%,0.160,4.39453125,,0,0,0,0,0,0,0,0
2023-ho-t1_Stone_Arranging_2,TIME_LIMIT_EXCEEDED,60,60.00%,95.87%,2.420,29.1484375,,25,35,0,0,0,0,0,0
2023-ho-t2_Advertisement_2,ACCEPTED,100,100.00%,100.00%,0.250,9.22265625,,10,23,36,31,0,0,0,0
2023-ho-t3_Maze,TIME_LIMIT_EXCEEDED,27,27.00%,78.68%,2.460,17.73828125,,8,19,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2023-ho-t5_Modern_Machine,TIME_LIMIT_EXCEEDED,3,3.00%,45.36%,2.930,1.8125,,3,0,0,0,0,0,0,0
TOTAL,,252,,38.01%,,,5.26%,,,,,,,,
