problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,100.00%,0.120,5.109375,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.050,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,2.00%,0.070,13.21875,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,0.00%,2.65%,0.070,33.84375,,0,0,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,5,20.00%,23.21%,4.810,99.51953125,,5,0,0,0,0,0,0
d1p2,RUNTIME_ERROR,0,0.00%,0.00%,0.150,24.2421875,,0,0,0,0,0,0,0
d1p3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.00%,0.040,2.390625,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.00%,0.00%,0.060,6.97265625,,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,0,0.00%,1.15%,0.080,41.51171875,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.050,0.00390625,,6,7,2,0,0,0,0
j4,RUNTIME_ERROR,6,40.00%,41.94%,0.050,2.078125,,3,3,0,0,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.050,1.55078125,,1,4,5,5,0,0,0
TOTAL,,101,,41.93%,,,37.50%,,,,,,,
