problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
vrsar,TIME_LIMIT_EXCEEDED,17,18.75%,1.120,8.78125,,0,17,0,0,0
milano,ACCEPTED,110,100.00%,0.070,4.0390625,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.180,66.734375,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zlagalica,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
bitovi,RUNTIME_ERROR,0,0.00%,0.030,2.0703125,,0,0,0,0,0
piratski,WRONG_ANSWER,0,0.00%,0.030,0,,0,0,0,0,0
rolete,TIME_LIMIT_EXCEEDED,0,0.00%,2.210,3.6171875,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.030,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,TIME_LIMIT_EXCEEDED,27,92.86%,1.110,5.94140625,,0,27,0,0,0
lepeze,RUNTIME_ERROR,0,3.85%,0.030,0,,0,0,0,0,0
putovanje,RUNTIME_ERROR,0,0.00%,0.050,4.32421875,,0,0,0,0,0
roboti,TIME_LIMIT_EXCEEDED,0,9.09%,2.210,542.1796875,,0,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.060,3.35546875,,7,16,22,25,0
dizalo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,4.05%,0.000,0,,0,0,0,0,0
zatopljenje,TIME_LIMIT_EXCEEDED,10,42.50%,2.320,17.97265625,,10,0,0,0,0
sudoku,RUNTIME_ERROR,0,45.71%,0.000,0,,0,0,0,0,0
labirint,ACCEPTED,70,100.00%,0.290,2.0703125,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.120,128.140625,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.030,1.53125,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,56.78%,3.350,15.4765625,,13,17,0,0,0
TOTAL,,544,35.50%,,,24.00%,,,,,
