problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,0.00%,16.33%,0.050,0,,0,0,0,0,0,0
karte,TIME_LIMIT_EXCEEDED,11,15.71%,37.31%,1.220,0.00390625,,0,11,0,0,0,0
bojanje,RUNTIME_ERROR,0,0.00%,4.35%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,0.00%,5.56%,0.000,0,,0,0,0,0,0,0
zid,TIME_LIMIT_EXCEEDED,38,54.29%,66.67%,1.240,2.5859375,,17,21,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,61,67.78%,79.63%,2.410,16.765625,,7,11,17,0,26,0
crtez,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.160,3.58984375,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.100,9.23828125,,15,30,25,0,0,0
xor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,0,0.00%,0.00%,0.110,5.8828125,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.060,0.00390625,,0,0,0,0,0,0
paradoks,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,6,8.57%,12.24%,0.240,0.00390625,,6,0,0,0,0,0
razlicitost,MEMORY_LIMIT_EXCEEDED,22,24.44%,37.21%,0.110,5.42578125,,0,13,9,0,0,0
blistavost,RUNTIME_ERROR,75,62.50%,65.57%,0.070,1.80078125,,0,0,55,20,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.070,0,,25,15,10,0,0,0
skokovi,RUNTIME_ERROR,20,28.57%,47.92%,0.090,2.84765625,,20,0,0,0,0,0
hijerarhija,TIME_LIMIT_EXCEEDED,22,24.44%,41.67%,3.600,28.10546875,,7,0,0,15,0,0
uciteljica,RUNTIME_ERROR,0,0.00%,3.28%,0.580,1.55078125,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,0.00%,1.61%,0.070,0,,0,0,0,0,0,0
TOTAL,,425,,28.80%,,,12.00%,,,,,,
