solution,status,score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_1.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,2.250,28.30078125,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_4.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t3_Mi_Teleférico_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
