problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,100.00%,0.110,8.9765625,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,2.00%,0.080,15.734375,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,0.00%,12.39%,0.060,6.7109375,,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,1.100,107.76953125,,5,5,7,8,0,0,0
d1p2,RUNTIME_ERROR,9,36.00%,36.47%,3.310,375.12109375,,0,4,5,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,0.00%,0.120,20.109375,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.00%,0.040,0.00390625,,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,0,0.00%,9.50%,4.840,33.78515625,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,0.00%,6.90%,4.810,2.9609375,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.050,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,100.00%,0.050,2.5234375,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.040,1.5546875,,1,4,5,5,0,0,0
TOTAL,,139,,54.20%,,,50.00%,,,,,,,
