problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,WRONG_ANSWER,0,93.88%,0.030,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.120,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.030,0.00390625,,0,0,0,0,0,0
stablo,RUNTIME_ERROR,0,14.71%,0.270,47.4453125,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,0.180,2.5859375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,0.810,12.8984375,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,0,12.77%,2.220,2.5546875,,0,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,15,27.72%,4.210,172.00390625,,0,15,0,0,0,0
sah,ACCEPTED,50,100.00%,0.050,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.080,8.23046875,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,64,29.03%,0.250,38.78515625,,0,27,37,0,0,0
tura,TIME_LIMIT_EXCEEDED,0,12.95%,0.580,5.5234375,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,0.090,1.54296875,,6,13,23,28,0,0
razlicitost,TIME_LIMIT_EXCEEDED,25,37.21%,2.210,10.76171875,,25,0,0,0,0,0
blistavost,ACCEPTED,120,100.00%,0.040,1.79296875,,20,25,55,20,0,0
trokuti,RUNTIME_ERROR,0,0.00%,0.050,4.12890625,,0,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.100,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.290,16.16796875,,7,12,16,15,23,17
uciteljica,TIME_LIMIT_EXCEEDED,0,14.75%,5.580,2.07421875,,0,0,0,0,0,0
zbunjenost,TIME_LIMIT_EXCEEDED,65,64.52%,5.520,75.2578125,,13,18,34,0,0,0
TOTAL,,1019,60.53%,,,48.00%,,,,,,
