problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.170,20.18359375,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.090,0.00390625,,5,5,2,3,0,0,0
s3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,1.77%,0.120,2.98828125,,0,0,0,0,0,0,0
d1p1,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d1p2,RUNTIME_ERROR,0,0.00%,2.100,108.02734375,,0,0,0,0,0,0,0
d1p3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p1,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,0,0.56%,4.450,5.1640625,,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,0,1.15%,0.510,45.16796875,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.050,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.060,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.080,2.328125,,6,7,2,0,0,0,0
j4,RUNTIME_ERROR,0,9.68%,0.060,2.08203125,,0,0,0,0,0,0,0
j5,ACCEPTED,15,100.00%,0.060,1.5546875,,1,4,5,5,0,0,0
TOTAL,,90,38.32%,,,37.50%,,,,,,,
