problem,model,status,score,%test passed,time,memory
2024-sp_Fish_3,Qwen3-4B,RUNTIME_ERROR,0,0.00%,0.290,5.94140625
2024-sp_Ski_2,Qwen3-4B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Spy_3,Qwen3-4B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Board_Game,Qwen3-4B,MEMORY_LIMIT_EXCEEDED,0,2.56%,0.360,1218.94140625
2024-sp_Tricolor_Lights,Qwen3-4B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Qwen3-4B,RUNTIME_ERROR,0,27.62%,0.140,18.51953125
2024-sp_Card_Collection,Qwen3-4B,RUNTIME_ERROR,0,3.10%,0.000,0
2024-sp_JOI_Tour,Qwen3-4B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Tower,Qwen3-4B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Escape_Route_2,Qwen3-4B,RUNTIME_ERROR,0,4.59%,0.360,6.96484375
2024-sp_Island_Hopping,Qwen3-4B,RUNTIME_ERROR,2,4.31%,0.030,0.56640625
2024-sp_Table_Tennis,Qwen3-4B,RUNTIME_ERROR,0,9.44%,0.250,23.7265625
