problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
five,RUNTIME_ERROR,5,5.00%,16.36%,0.460,306.53515625,,5,0,0,0,0,0,0
game,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
lexgcd,TIME_LIMIT_EXCEEDED,0,0.00%,4.92%,1.830,3.359375,,0,0,0,0,0,0,0
ones,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
travel,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,0.00%,20.62%,0.090,0,,0,0,0,0,0,0,0
parentheses,TIME_LIMIT_EXCEEDED,40,40.00%,91.83%,0.400,6.48828125,,0,5,10,10,15,0,0
tolls,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
twins,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
xy,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
TOTAL,,45,,12.16%,,,0.00%,,,,,,,
