competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Qwen3-8B-Non-Thinking,5486,14.22%,0.65,70.73,2.68%
APIO-2023,Qwen3-8B-Non-Thinking,31,22.70%,1.64,188.86,0.00%
APIO-2024,Qwen3-8B-Non-Thinking,0,0.00%,0.00,0.00,0.00%
BOI-2023,Qwen3-8B-Non-Thinking,11,11.80%,0.01,0.26,0.00%
BOI-2024,Qwen3-8B-Non-Thinking,9,15.64%,0.27,4.73,0.00%
BOI-2025,Qwen3-8B-Non-Thinking,0,3.53%,0.35,52.87,0.00%
CCO-2023,Qwen3-8B-Non-Thinking,77,35.96%,0.68,2.57,18.75%
CCO-2024,Qwen3-8B-Non-Thinking,68,27.96%,0.73,100.48,25.00%
CEOI-2023,Qwen3-8B-Non-Thinking,0,0.22%,0.01,0.00,0.00%
CEOI-2024,Qwen3-8B-Non-Thinking,20,18.15%,1.67,232.79,0.00%
COCI-2023,Qwen3-8B-Non-Thinking,231,16.45%,0.50,2.14,4.00%
COCI-2024,Qwen3-8B-Non-Thinking,259,22.76%,0.62,57.37,16.00%
COCI-2025,Qwen3-8B-Non-Thinking,323,25.09%,0.84,12.33,4.00%
EGOI-2023,Qwen3-8B-Non-Thinking,19,7.20%,0.19,125.32,0.00%
EGOI-2024,Qwen3-8B-Non-Thinking,20,20.28%,0.75,142.41,0.00%
EJOI-2023,Qwen3-8B-Non-Thinking,0,0.40%,0.22,0.95,0.00%
EJOI-2024,Qwen3-8B-Non-Thinking,55,13.71%,1.11,2.13,0.00%
IATI-2024,Qwen3-8B-Non-Thinking,45,12.16%,0.25,28.76,0.00%
IOI-2023,Qwen3-8B-Non-Thinking,0,0.65%,0.30,4.62,0.00%
IOI-2024,Qwen3-8B-Non-Thinking,42,15.82%,0.57,423.05,0.00%
JOI-2023,Qwen3-8B-Non-Thinking,13,9.44%,0.51,64.97,0.00%
JOI-2024,Qwen3-8B-Non-Thinking,34,9.55%,0.65,8.12,0.00%
JOI-2025,Qwen3-8B-Non-Thinking,28,27.52%,0.50,290.37,0.00%
NOINordic-2023,Qwen3-8B-Non-Thinking,44,28.31%,2.05,2.24,0.00%
NOINordic-2024,Qwen3-8B-Non-Thinking,0,0.00%,0.06,3.18,0.00%
NOINordic-2025,Qwen3-8B-Non-Thinking,0,6.60%,1.88,329.71,0.00%
OOI-2023,Qwen3-8B-Non-Thinking,409,29.64%,0.41,2.70,11.76%
OOI-2024,Qwen3-8B-Non-Thinking,29,7.18%,0.48,47.18,0.00%
RMI-2023,Qwen3-8B-Non-Thinking,24,12.97%,0.61,5.85,0.00%
RMI-2024,Qwen3-8B-Non-Thinking,74,22.29%,0.85,58.58,0.00%
USACO-2023,Qwen3-8B-Non-Thinking,2155,16.48%,0.80,27.75,6.38%
USACO-2024,Qwen3-8B-Non-Thinking,817,6.50%,0.52,15.18,0.00%
USACO-2025,Qwen3-8B-Non-Thinking,649,8.13%,0.71,25.84,0.00%
