problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,RUNTIME_ERROR,6,40.00%,52.50%,0.040,0.00390625,,3,3,0,0,0,0,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.050,0.00390625,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,2,13.33%,15.48%,0.140,5.1640625,,2,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,6,40.00%,32.35%,0.660,32.33203125,,0,6,0,0,0,0,0,0
s5,RUNTIME_ERROR,3,20.00%,28.12%,0.450,7.5703125,,3,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.240,16.50390625,,3,3,4,4,4,7,0,0
d1p2,RUNTIME_ERROR,0,0.00%,0.95%,0.940,86.890625,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,3.85%,0.230,28.27734375,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,9,36.00%,53.57%,0.050,1.7109375,,1,3,0,5,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.00%,1.56%,0.090,13.671875,,0,0,0,0,0,0,0,0
d2p3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,RUNTIME_ERROR,6,40.00%,52.50%,0.040,0.00390625,,3,3,0,0,0,0,0,0
j5,RUNTIME_ERROR,6,40.00%,72.22%,0.000,0,,2,2,2,0,0,0,0,0
TOTAL,,123,,50.82%,,,31.25%,,,,,,,,
