solution,status,score,relative_score,%test passed,time,memory,subtask_0
j1_Qwen3-8B_0.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_0.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_0.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_0.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0
j1_Qwen3-8B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0
j1_Qwen3-8B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0
j1_Qwen3-8B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0
j1_Qwen3-8B_5.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_5.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_5.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_5.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_5.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_5.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_5.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_6.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_6.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-8B_6.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
