solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_2,subtask_3
s3_Qwen3-8B_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.080,2.58984375,0,0,0,0
s3_Qwen3-8B_1.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.080,2.70703125,0,0,0,0
s3_Qwen3-8B_2.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.080,2.58984375,0,0,0,0
s3_Qwen3-8B_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_Qwen3-8B_4.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.090,2.58984375,0,0,0,0
s3_Qwen3-8B_5.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.070,2.5859375,0,0,0,0
s3_Qwen3-8B_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_Qwen3-8B_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_Qwen3-8B_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_Qwen3-8B_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_Qwen3-8B_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_Qwen3-8B_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
