problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
2023-open-t1_Ancient_Machine_2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton,RUNTIME_ERROR,0,0.00%,0.00%,0.100,2.62109375,,0,0,0,0,0,0,0
2023-open-t3_Garden,RUNTIME_ERROR,15,15.00%,38.00%,0.550,22.36328125,,15,0,0,0,0,0,0
2023-sp_Two_Currencies,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Festivals_in_JOI_Kingdom_2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Passport,RUNTIME_ERROR,6,6.00%,47.14%,0.180,9.9140625,,6,0,0,0,0,0,0
2023-sp_Belt_Conveyor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Council,TIME_LIMIT_EXCEEDED,16,16.00%,71.95%,3.600,17.28515625,,8,8,0,0,0,0,0
2023-sp_Mizuyokan_2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Chorus,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Cookies,ACCEPTED,100,100.00%,100.00%,0.160,2.15234375,,6,7,12,45,15,15,0
2023-sp_Tourism,TIME_LIMIT_EXCEEDED,10,10.00%,69.33%,4.880,9.28515625,,5,5,0,0,0,0,0
2023-sp_Super_Dango_Maker,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Security_Guard,RUNTIME_ERROR,0,0.00%,5.95%,0.160,2.84765625,,0,0,0,0,0,0,0
2023-sp_Bitaro’s_travel,TIME_LIMIT_EXCEEDED,15,15.00%,77.88%,2.400,2.84765625,,5,10,0,0,0,0,0
2023-ho-t1_Stone_Arranging_2,TIME_LIMIT_EXCEEDED,60,60.00%,95.87%,2.440,7.484375,,25,35,0,0,0,0,0
2023-ho-t2_Advertisement_2,ACCEPTED,100,100.00%,100.00%,0.260,9.22265625,,10,23,36,31,0,0,0
2023-ho-t3_Maze,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-ho-t5_Modern_Machine,TIME_LIMIT_EXCEEDED,3,3.00%,45.36%,2.980,1.8125,,3,0,0,0,0,0,0
TOTAL,,325,,32.91%,,,10.00%,,,,,,,
