problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,Qwen3-8B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,Qwen3-8B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Passport,Qwen3-8B,RUNTIME_ERROR,6,6.00%,47.14%,0.180,9.9140625
2023-sp_Belt_Conveyor,Qwen3-8B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Council,Qwen3-8B,TIME_LIMIT_EXCEEDED,16,16.00%,71.95%,3.600,17.28515625
2023-sp_Mizuyokan_2,Qwen3-8B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Chorus,Qwen3-8B,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0
2023-sp_Cookies,Qwen3-8B,ACCEPTED,100,100.00%,100.00%,0.160,2.15234375
2023-sp_Tourism,Qwen3-8B,TIME_LIMIT_EXCEEDED,10,10.00%,69.33%,4.880,9.28515625
2023-sp_Super_Dango_Maker,Qwen3-8B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,Qwen3-8B,RUNTIME_ERROR,0,0.00%,5.95%,0.160,2.84765625
2023-sp_Bitaro’s_travel,Qwen3-8B,TIME_LIMIT_EXCEEDED,15,15.00%,77.88%,2.400,2.84765625
