Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,s1j4,s1j4_rel,s2,s2_rel,s3,s3_rel,s4,s4_rel,s5,s5_rel
gpt-5,60.00,,82.62%,80.00%,0.080,4.42,5,15.00,,15.00,,0.00,,15.00,,15.00,
gemini-2.5-pro,54.00,,74.49%,60.00%,0.078,5.94,5,15.00,,15.00,,2.00,,15.00,,7.00,
gpt-oss-120b-high,52.00,,76.13%,60.00%,0.164,21.16,5,15.00,,15.00,,0.00,,15.00,,7.00,
gpt-o3-mini-high,48.00,,65.86%,60.00%,0.060,2.73,5,15.00,,15.00,,0.00,,15.00,,3.00,
gpt-oss-120b-medium,48.00,64.00%,67.77%,60.00%,0.120,27.83,5,15.00,100.00%,15.00,100.00%,0.00,0.00%,15.00,100.00%,3.00,20.00%
gpt-oss-20b-high,48.00,,68.24%,60.00%,0.180,44.95,5,15.00,,15.00,,0.00,,15.00,,3.00,
gpt-oss-120b-low,39.00,,54.24%,40.00%,0.058,9.03,5,15.00,,15.00,,0.00,,6.00,,3.00,
Qwen3-32B,39.00,,57.20%,40.00%,0.402,7.77,5,15.00,,15.00,,2.00,,3.00,,4.00,
gemini-2.5-flash,38.00,,52.36%,40.00%,0.062,9.53,5,15.00,,15.00,,2.00,,3.00,,3.00,
deepseek-reasoner,36.00,,53.85%,40.00%,0.364,8.42,5,15.00,,15.00,,2.00,,0.00,,4.00,
deepseek-chat,35.00,,48.54%,40.00%,0.374,28.61,5,15.00,,15.00,,2.00,,0.00,,3.00,
seed-oss_16384,32.00,,46.01%,20.00%,0.092,8.65,5,3.00,,15.00,,2.00,,9.00,,3.00,
Qwen3-8B,32.00,,45.69%,20.00%,0.238,9.01,5,6.00,,15.00,,2.00,,6.00,,3.00,
gpt-oss-20b-low,30.00,,40.61%,40.00%,0.372,1.59,5,15.00,,15.00,,0.00,,0.00,,0.00,
seed-oss_-1,30.00,,46.09%,20.00%,0.062,8.51,5,3.00,,15.00,,2.00,,6.00,,4.00,
gpt-oss-20b-medium,30.00,,44.74%,20.00%,0.064,15.50,5,6.00,,15.00,,0.00,,6.00,,3.00,
Qwen3-14B,30.00,,48.17%,20.00%,0.400,7.87,5,6.00,,15.00,,2.00,,3.00,,4.00,
Qwen3-30B,30.00,,49.28%,20.00%,0.410,8.03,5,6.00,,15.00,,2.00,,3.00,,4.00,
QwQ-32B,27.00,,37.45%,20.00%,0.104,36.46,5,6.00,,15.00,,0.00,,6.00,,0.00,
Qwen3-4B,27.00,,43.87%,20.00%,0.408,24.22,5,6.00,,15.00,,2.00,,0.00,,4.00,
seed-oss_4096,26.00,,37.55%,20.00%,0.678,68.15,5,6.00,,15.00,,2.00,,3.00,,0.00,
seed-oss_8192,24.00,,35.41%,20.00%,0.134,98.64,5,6.00,,15.00,,0.00,,3.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,23.00,,38.41%,20.00%,0.392,4.96,5,6.00,,15.00,,2.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,23.00,,34.05%,20.00%,0.408,7.84,5,3.00,,15.00,,2.00,,3.00,,0.00,
seed-oss_512,21.00,,31.27%,20.00%,0.046,39.14,5,6.00,,15.00,,0.00,,0.00,,0.00,
gpt-4.1,20.00,,30.49%,20.00%,0.588,3.08,5,15.00,,5.00,,0.00,,0.00,,0.00,
seed-oss_0,18.00,,27.29%,20.00%,0.032,20.38,5,3.00,,15.00,,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,14.00,,23.37%,0.00%,0.232,0.57,5,6.00,,5.00,,0.00,,3.00,,0.00,
Qwen2.5-Coder-14B-Instruct,14.00,,22.36%,0.00%,0.232,0.00,5,6.00,,5.00,,0.00,,3.00,,0.00,
