Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,avoid,avoid_rel,balance,balance_rel,grading-server,grading-server_rel,light,light_rel,trade,trade_rel,incursion,incursion_rel
gpt-5,185.00,30.83%,43.68%,16.67%,0.315,142.90,6,15.00,15.00%,100.00,100.00%,10.00,10.00%,5.00,5.00%,55.00,55.00%,0.00,0.00%
gemini-2.5-pro,180.00,30.00%,42.38%,16.67%,1.168,414.42,6,20.00,20.00%,100.00,100.00%,0.00,0.00%,5.00,5.00%,55.00,55.00%,0.00,0.00%
grok-4-fast-reasoning,150.00,30.00%,49.08%,20.00%,2.082,504.20,5,15.00,15.00%,100.00,100.00%,0.00,0.00%,5.00,5.00%,30.00,30.00%,N/A,N/A
gpt-oss-120b-high,130.00,21.67%,37.42%,0.00%,0.722,427.20,6,15.00,15.00%,60.00,60.00%,0.00,0.00%,0.00,0.00%,55.00,55.00%,0.00,0.00%
gpt-oss-120b_sp1,60.00,10.00%,18.84%,0.00%,0.350,419.40,6,10.00,10.00%,50.00,50.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gemini-2.5-flash,45.00,7.50%,23.86%,0.00%,2.617,55.06,6,20.00,20.00%,15.00,15.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%
gpt-oss-120b_sp3,40.00,6.67%,11.65%,0.00%,0.515,19.61,6,10.00,10.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-medium,40.00,6.67%,12.50%,0.00%,0.523,37.89,6,10.00,10.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
claude-sonnet-4.5,40.00,8.00%,24.68%,0.00%,2.358,74.20,5,10.00,10.00%,15.00,15.00%,0.00,0.00%,5.00,5.00%,10.00,10.00%,N/A,N/A
gpt-o3-mini-high,30.00,5.00%,10.19%,0.00%,1.828,207.87,6,0.00,0.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_-1,20.00,3.33%,14.24%,0.00%,1.488,409.88,6,10.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%
gpt-oss-120b_sp2,20.00,3.33%,7.34%,0.00%,1.880,6.87,6,10.00,10.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-high,15.00,3.75%,13.22%,0.00%,0.103,16.71,4,15.00,15.00%,N/A,N/A,0.00,0.00%,0.00,0.00%,N/A,N/A,0.00,0.00%
QwQ-32B,10.00,3.33%,2.72%,0.00%,0.023,1.01,3,10.00,10.00%,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,0.00,0.00%
Qwen3-32B-Non-Thinking,10.00,1.67%,1.68%,0.00%,0.032,3.13,6,10.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
