Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,battle,battle_rel,covid,covid_rel,editor,editor_rel,sprinklers,sprinklers_rel,stations,stations_rel,toy,toy_rel
gpt-o3-mini-high,293.00,48.83%,76.14%,33.33%,0.822,227.76,6,100.00,100.00%,10.00,10.00%,56.00,56.00%,9.00,9.00%,18.00,18.00%,100.00,100.00%
gpt-5,251.00,41.83%,71.38%,33.33%,1.012,16.86,6,100.00,100.00%,10.00,10.00%,14.00,14.00%,9.00,9.00%,18.00,18.00%,100.00,100.00%
gpt-oss-120b-high,224.00,37.33%,66.65%,33.33%,0.515,104.86,6,100.00,100.00%,10.00,10.00%,5.00,5.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%
gemini-2.5-flash,219.00,36.50%,67.22%,16.67%,1.348,320.08,6,100.00,100.00%,10.00,10.00%,56.00,56.00%,9.00,9.00%,0.00,0.00%,44.00,44.00%
gemini-2.5-pro,194.00,32.33%,61.28%,0.00%,1.468,389.89,6,67.00,67.00%,0.00,0.00%,56.00,56.00%,9.00,9.00%,18.00,18.00%,44.00,44.00%
claude-sonnet-4.5,174.00,29.00%,70.93%,0.00%,2.095,197.43,6,46.00,46.00%,10.00,10.00%,56.00,56.00%,9.00,9.00%,18.00,18.00%,35.00,35.00%
grok-4-fast-reasoning,170.00,28.33%,57.16%,16.67%,1.360,34.17,6,46.00,46.00%,10.00,10.00%,5.00,5.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%
gpt-oss-120b_sp2,168.00,28.00%,58.25%,16.67%,0.328,101.69,6,36.00,36.00%,10.00,10.00%,5.00,5.00%,9.00,9.00%,8.00,8.00%,100.00,100.00%
gpt-oss-120b_sp1,160.00,26.67%,51.33%,16.67%,0.178,46.43,6,36.00,36.00%,10.00,10.00%,5.00,5.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%
gpt-oss-120b_sp4,160.00,26.67%,56.20%,16.67%,0.212,49.92,6,36.00,36.00%,10.00,10.00%,5.00,5.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%
gpt-oss-20b-high,160.00,26.67%,57.56%,16.67%,0.287,59.55,6,36.00,36.00%,10.00,10.00%,5.00,5.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%
gpt-oss-120b-low,155.00,25.83%,48.20%,16.67%,0.098,18.87,6,36.00,36.00%,10.00,10.00%,0.00,0.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%
gpt-oss-120b-medium,155.00,25.83%,51.18%,16.67%,0.322,51.76,6,36.00,36.00%,10.00,10.00%,0.00,0.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%
Qwen3-32B-Non-Thinking,124.00,20.67%,40.50%,16.67%,3.008,447.20,6,0.00,0.00%,10.00,10.00%,14.00,14.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-4.1,109.00,18.17%,51.79%,0.00%,1.712,110.47,6,46.00,46.00%,10.00,10.00%,0.00,0.00%,9.00,9.00%,0.00,0.00%,44.00,44.00%
seed-oss_16384,74.00,,43.88%,0.00%,0.230,229.63,6,6.00,,10.00,,5.00,,9.00,,0.00,,44.00,
gpt-oss-20b-medium,60.00,10.00%,43.27%,0.00%,0.210,44.39,6,36.00,36.00%,10.00,10.00%,5.00,5.00%,9.00,9.00%,0.00,0.00%,0.00,0.00%
