Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,berilij,berilij_rel,cokolade,cokolade_rel,desniklik,desniklik_rel,iksevi,iksevi_rel,neboderi,neboderi_rel
gpt-5,385.00,,95.91%,80.00%,0.128,16.13,5,45.00,,70.00,,50.00,,110.00,,110.00,
gpt-oss-20b-medium,385.00,,95.91%,80.00%,0.160,15.44,5,45.00,,70.00,,50.00,,110.00,,110.00,
gemini-2.5-flash,385.00,,95.91%,80.00%,0.216,31.50,5,45.00,,70.00,,50.00,,110.00,,110.00,
deepseek-reasoner,385.00,,95.91%,80.00%,0.298,16.52,5,45.00,,70.00,,50.00,,110.00,,110.00,
gpt-oss-120b-high,340.00,,84.09%,80.00%,0.144,14.24,5,0.00,,70.00,,50.00,,110.00,,110.00,
gpt-oss-20b-high,340.00,,91.36%,80.00%,0.146,14.76,5,0.00,,70.00,,50.00,,110.00,,110.00,
gpt-oss-120b-medium,340.00,80.00%,80.91%,80.00%,0.150,14.30,5,0.00,0.00%,70.00,100.00%,50.00,100.00%,110.00,100.00%,110.00,100.00%
seed-oss_16384,340.00,,80.91%,80.00%,0.166,11.98,5,0.00,,70.00,,50.00,,110.00,,110.00,
seed-oss_-1,340.00,,80.91%,80.00%,0.172,12.04,5,0.00,,70.00,,50.00,,110.00,,110.00,
gemini-2.5-pro,340.00,,80.45%,80.00%,0.184,14.38,5,0.00,,70.00,,50.00,,110.00,,110.00,
gpt-o3-mini-high,340.00,,80.91%,80.00%,0.194,13.66,5,0.00,,70.00,,50.00,,110.00,,110.00,
seed-oss_8192,340.00,,80.91%,80.00%,0.482,19.63,5,0.00,,70.00,,50.00,,110.00,,110.00,
Qwen3-32B,340.00,,83.18%,80.00%,0.490,12.04,5,0.00,,70.00,,50.00,,110.00,,110.00,
Qwen3-14B,270.00,,60.45%,60.00%,0.464,11.34,5,0.00,,0.00,,50.00,,110.00,,110.00,
Qwen3-30B,245.00,,63.23%,40.00%,1.068,4.94,5,0.00,,15.00,,50.00,,70.00,,110.00,
gpt-oss-20b-low,230.00,,64.09%,60.00%,0.104,7.67,5,0.00,,70.00,,50.00,,0.00,,110.00,
gpt-oss-120b-low,230.00,,61.82%,60.00%,0.132,37.25,5,0.00,,70.00,,50.00,,0.00,,110.00,
QwQ-32B,230.00,,61.36%,60.00%,0.214,4.16,5,0.00,,70.00,,50.00,,0.00,,110.00,
DeepSeek-R1-Distill-Qwen-32B,230.00,,60.45%,60.00%,0.266,3.56,5,0.00,,70.00,,50.00,,0.00,,110.00,
deepseek-chat,175.00,,45.91%,40.00%,0.340,8.10,5,0.00,,15.00,,50.00,,0.00,,110.00,
Qwen3-8B,175.00,,45.45%,40.00%,0.398,4.42,5,0.00,,15.00,,50.00,,0.00,,110.00,
seed-oss_512,160.00,,40.45%,40.00%,0.068,3.61,5,0.00,,0.00,,50.00,,0.00,,110.00,
gpt-4.1,160.00,,41.82%,40.00%,0.220,7.73,5,0.00,,0.00,,50.00,,0.00,,110.00,
Qwen3-4B,158.00,,48.23%,40.00%,0.158,3.20,5,0.00,,70.00,,50.00,,0.00,,38.00,
DeepSeek-R1-Distill-Llama-70B,158.00,,48.23%,40.00%,0.196,2.53,5,0.00,,70.00,,50.00,,0.00,,38.00,
seed-oss_2048,115.00,,33.15%,20.00%,0.838,5.99,5,0.00,,15.00,,50.00,,0.00,,50.00,
Qwen3-14B-Non-Thinking,98.00,,33.23%,20.00%,0.832,20.12,5,0.00,,15.00,,50.00,,0.00,,33.00,
Llama-4-Scout,88.00,,35.29%,25.00%,0.767,3.50,4,0.00,,N/A,,50.00,,0.00,,38.00,
