Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,ekspert,ekspert_rel,kruhologija,kruhologija_rel,lampice,lampice_rel,prijateljice,prijateljice_rel,tramvaji,tramvaji_rel
gpt-oss-20b-high,270.00,60.00%,60.00%,60.00%,0.108,2.89,5,0.00,0.00%,0.00,0.00%,110.00,100.00%,110.00,100.00%,50.00,100.00%
gpt-oss-20b-medium,270.00,60.00%,60.00%,60.00%,0.118,4.18,5,0.00,0.00%,0.00,0.00%,110.00,100.00%,110.00,100.00%,50.00,100.00%
gpt-oss-120b_sp3,270.00,60.00%,60.00%,60.00%,0.118,3.87,5,0.00,0.00%,0.00,0.00%,110.00,100.00%,110.00,100.00%,50.00,100.00%
gpt-5,270.00,60.00%,60.00%,60.00%,0.148,4.18,5,0.00,0.00%,0.00,0.00%,110.00,100.00%,110.00,100.00%,50.00,100.00%
gpt-o3-mini-high,172.00,42.18%,43.33%,40.00%,0.736,2.69,5,0.00,0.00%,0.00,0.00%,12.00,10.91%,110.00,100.00%,50.00,100.00%
gemini-2.5-pro,172.00,42.18%,43.33%,40.00%,0.750,9.49,5,0.00,0.00%,0.00,0.00%,12.00,10.91%,110.00,100.00%,50.00,100.00%
seed-oss_-1,172.00,42.18%,49.05%,40.00%,0.750,3.68,5,0.00,0.00%,0.00,0.00%,12.00,10.91%,110.00,100.00%,50.00,100.00%
gpt-4.1,172.00,42.18%,43.33%,40.00%,0.752,3.15,5,0.00,0.00%,0.00,0.00%,12.00,10.91%,110.00,100.00%,50.00,100.00%
Qwen3-4B,172.00,42.18%,43.33%,40.00%,0.766,10.09,5,0.00,0.00%,0.00,0.00%,12.00,10.91%,110.00,100.00%,50.00,100.00%
gpt-oss-120b_sp2,160.00,40.00%,40.00%,40.00%,0.006,1.50,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,110.00,100.00%,50.00,100.00%
gpt-oss-120b_sp4,160.00,40.00%,40.48%,40.00%,0.010,2.14,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,110.00,100.00%,50.00,100.00%
Qwen3-32B,160.00,,40.48%,40.00%,0.018,3.63,5,0.00,,0.00,,0.00,,110.00,,50.00,
seed-oss_4096,160.00,,45.48%,40.00%,0.020,1.50,5,0.00,,0.00,,0.00,,110.00,,50.00,
Llama-4-Scout,160.00,40.00%,40.00%,40.00%,0.030,1.59,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,110.00,100.00%,50.00,100.00%
OlympicCoder-7B,160.00,40.00%,40.48%,40.00%,0.036,2.42,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,110.00,100.00%,50.00,100.00%
deepseek-reasoner,160.00,40.00%,45.48%,40.00%,0.038,3.65,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,110.00,100.00%,50.00,100.00%
