Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,diskurs,diskurs_rel,kalendar,kalendar_rel,logaritam,logaritam_rel,slasticarnica,slasticarnica_rel,zastave,zastave_rel
gpt-oss-120b_sp3,450.00,100.00%,100.00%,100.00%,0.066,3.37,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
gpt-oss-120b_sp4,450.00,100.00%,100.00%,100.00%,0.070,3.31,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
seed-oss_16384,450.00,,100.00%,100.00%,0.088,3.33,5,70.00,,50.00,,110.00,,110.00,,110.00,
gpt-oss-20b-high,450.00,100.00%,100.00%,100.00%,0.090,4.16,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
gpt-5,450.00,100.00%,100.00%,100.00%,0.090,3.72,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
gpt-oss-120b-high,450.00,100.00%,100.00%,100.00%,0.096,3.79,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
gpt-oss-120b-medium,450.00,100.00%,100.00%,100.00%,0.098,3.31,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
grok-4-fast-reasoning,450.00,100.00%,100.00%,100.00%,0.112,3.72,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
gpt-oss-120b_sp2,450.00,100.00%,100.00%,100.00%,0.228,3.96,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
gpt-oss-120b_sp1,450.00,100.00%,100.00%,100.00%,0.284,51.06,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
seed-oss_-1,450.00,100.00%,100.00%,100.00%,0.358,3.25,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
gpt-oss-120b-low,419.00,94.36%,95.50%,80.00%,0.546,19.59,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,79.00,71.82%,110.00,100.00%
