Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,cesta,cesta_rel,eurokod,eurokod_rel,milano,milano_rel,restorani,restorani_rel,vrsar,vrsar_rel
gpt-oss-20b-high,340.00,100.00%,100.00%,100.00%,0.247,31.79,4,110.00,100.00%,50.00,100.00%,110.00,100.00%,N/A,N/A,70.00,100.00%
gpt-oss-120b-high,340.00,80.00%,80.27%,80.00%,0.116,28.64,5,110.00,100.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
gpt-5,340.00,80.00%,80.14%,80.00%,0.164,32.12,5,110.00,100.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
grok-4-fast-reasoning,340.00,80.00%,80.41%,80.00%,0.178,36.87,5,110.00,100.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
gpt-oss-120b_sp4,340.00,80.00%,80.14%,80.00%,0.188,35.13,5,110.00,100.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
gpt-oss-120b_sp2,340.00,80.00%,80.27%,80.00%,0.210,35.39,5,110.00,100.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
gpt-oss-120b_sp3,340.00,80.00%,80.27%,80.00%,0.216,91.43,5,110.00,100.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
gpt-oss-120b_sp1,340.00,80.00%,80.27%,80.00%,0.230,33.32,5,110.00,100.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
gpt-oss-120b-medium,340.00,80.00%,80.27%,80.00%,0.232,37.84,5,110.00,100.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
gpt-oss-20b-medium,340.00,80.00%,80.14%,80.00%,0.248,38.26,5,110.00,100.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
gpt-o3-mini-high,340.00,80.00%,80.14%,80.00%,0.264,34.52,5,110.00,100.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
