Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,hijerarhija,hijerarhija_rel,osobna,osobna_rel,skokovi,skokovi_rel,uciteljica,uciteljica_rel,zbunjenost,zbunjenost_rel
gpt-oss-20b-high,380.00,88.33%,90.82%,80.00%,0.166,20.46,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,50.00,41.67%,120.00,100.00%
grok-4-fast-reasoning,380.00,88.33%,90.82%,80.00%,0.178,21.51,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,50.00,41.67%,120.00,100.00%
gpt-5,365.00,85.83%,86.56%,80.00%,0.128,17.91,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,35.00,29.17%,120.00,100.00%
gpt-oss-120b-high,365.00,85.83%,86.56%,80.00%,0.132,20.48,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,35.00,29.17%,120.00,100.00%
gemini-2.5-flash,365.00,85.83%,86.56%,80.00%,0.184,27.39,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,35.00,29.17%,120.00,100.00%
gpt-o3-mini-high,365.00,85.83%,86.56%,80.00%,0.200,15.45,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,35.00,29.17%,120.00,100.00%
gemini-2.5-pro,365.00,85.83%,86.56%,80.00%,0.256,40.38,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,35.00,29.17%,120.00,100.00%
gpt-oss-120b_sp2,330.00,80.00%,80.98%,80.00%,0.110,23.53,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-120b-medium,330.00,80.00%,80.66%,80.00%,0.122,12.97,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-120b_sp1,330.00,80.00%,80.66%,80.00%,0.124,16.78,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-20b-medium,330.00,80.00%,82.62%,80.00%,0.134,14.10,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-120b_sp4,330.00,80.00%,80.33%,80.00%,0.148,17.59,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
seed-oss_-1,330.00,80.00%,80.33%,80.00%,0.176,25.25,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-120b_sp3,330.00,80.00%,80.98%,80.00%,0.186,22.19,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-120b-low,330.00,80.00%,80.66%,80.00%,0.198,26.00,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
seed-oss_8192,290.00,,79.36%,60.00%,0.172,25.49,5,90.00,,50.00,,70.00,,0.00,,80.00,
Qwen3-32B,275.00,,75.85%,60.00%,2.298,21.28,5,90.00,,50.00,,70.00,,0.00,,65.00,
claude-sonnet-4.5,275.00,70.83%,75.85%,60.00%,2.474,18.59,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,65.00,54.17%
deepseek-reasoner,225.00,62.50%,67.10%,60.00%,0.072,4.38,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,15.00,12.50%
QwQ-32B,225.00,,67.43%,60.00%,0.098,6.46,5,90.00,,50.00,,70.00,,0.00,,15.00,
Qwen3-14B,225.00,62.50%,69.73%,60.00%,1.268,6.33,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,15.00,12.50%
gpt-4.1,223.00,62.17%,68.40%,60.00%,1.352,111.02,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,13.00,10.83%
