Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,crtez,crtez_rel,stablo,stablo_rel,tornjevi,tornjevi_rel,wow,wow_rel,zid,zid_rel
gpt-5,450.00,100.00%,100.00%,100.00%,0.188,19.45,5,120.00,100.00%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gpt-oss-20b-high,450.00,100.00%,100.00%,100.00%,0.226,19.02,5,120.00,100.00%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
grok-4-fast-reasoning,450.00,100.00%,100.00%,100.00%,0.482,75.85,5,120.00,100.00%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gpt-oss-120b-high,405.00,92.50%,94.47%,80.00%,0.494,94.65,5,75.00,62.50%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gpt-oss-120b_sp4,405.00,92.50%,94.47%,80.00%,0.544,152.14,5,75.00,62.50%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gpt-oss-120b-medium,350.00,83.33%,88.51%,80.00%,0.658,18.69,5,20.00,16.67%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gpt-oss-120b_sp2,350.00,83.33%,88.51%,80.00%,0.664,21.00,5,20.00,16.67%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gpt-oss-120b_sp1,350.00,83.33%,88.51%,80.00%,0.772,30.63,5,20.00,16.67%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gemini-2.5-pro,350.00,83.33%,88.51%,80.00%,0.948,49.89,5,20.00,16.67%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gpt-oss-20b-medium,330.00,80.00%,80.85%,80.00%,0.460,88.94,5,0.00,0.00%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gemini-2.5-flash,330.00,80.00%,81.70%,80.00%,0.536,52.78,5,0.00,0.00%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gpt-oss-120b_sp3,330.00,80.00%,81.70%,80.00%,0.698,23.38,5,0.00,0.00%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gpt-oss-20b-low,330.00,80.00%,81.70%,80.00%,0.758,29.09,5,0.00,0.00%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gpt-o3-mini-high,330.00,80.00%,81.70%,80.00%,0.768,37.74,5,0.00,0.00%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gpt-4.1,330.00,80.00%,80.00%,80.00%,0.966,70.63,5,0.00,0.00%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gpt-oss-120b-low,330.00,80.00%,80.85%,80.00%,0.994,60.97,5,0.00,0.00%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
seed-oss_-1,324.00,77.56%,84.44%,60.00%,0.834,115.29,5,20.00,16.67%,120.00,100.00%,64.00,71.11%,50.00,100.00%,70.00,100.00%
deepseek-chat,318.00,74.19%,81.84%,60.00%,1.186,48.11,5,20.00,16.67%,120.00,100.00%,90.00,100.00%,50.00,100.00%,38.00,54.29%
seed-oss_8192,251.00,,64.44%,40.00%,1.158,35.01,5,20.00,,120.00,,61.00,,50.00,,0.00,
seed-oss_16384,245.00,,73.07%,60.00%,1.372,41.60,5,20.00,,15.00,,90.00,,50.00,,70.00,
claude-sonnet-4.5,245.00,65.83%,74.06%,60.00%,1.446,41.02,5,20.00,16.67%,15.00,12.50%,90.00,100.00%,50.00,100.00%,70.00,100.00%
deepseek-reasoner,235.00,55.83%,63.36%,40.00%,1.368,53.90,5,20.00,16.67%,75.00,62.50%,90.00,100.00%,50.00,100.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,230.00,63.33%,68.51%,60.00%,0.816,41.41,5,20.00,16.67%,0.00,0.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
Qwen3-32B,225.00,,68.10%,60.00%,1.484,38.01,5,0.00,,15.00,,90.00,,50.00,,70.00,
Qwen3-30B,225.00,,67.25%,60.00%,1.536,35.77,5,0.00,,15.00,,90.00,,50.00,,70.00,
Qwen3-14B,220.00,,55.68%,40.00%,1.624,67.91,5,0.00,,60.00,,90.00,,0.00,,70.00,
QwQ-32B,210.00,,61.70%,60.00%,0.520,4.25,5,0.00,,0.00,,90.00,,50.00,,70.00,
Qwen3-8B,175.00,42.50%,49.21%,40.00%,1.622,158.70,5,0.00,0.00%,15.00,12.50%,90.00,100.00%,0.00,0.00%,70.00,100.00%
Qwen3-4B,164.00,46.91%,62.06%,20.00%,1.454,36.53,5,0.00,0.00%,15.00,12.50%,61.00,67.78%,50.00,100.00%,38.00,54.29%
OlympicCoder-7B,160.00,40.00%,40.00%,40.00%,0.114,3.10,5,0.00,0.00%,0.00,0.00%,90.00,100.00%,0.00,0.00%,70.00,100.00%
Qwen2.5-Coder-32B-Instruct,128.00,,34.44%,20.00%,0.334,16.81,5,0.00,,0.00,,90.00,,0.00,,38.00,
Qwen2.5-72B,114.00,,35.91%,0.00%,1.526,34.13,5,0.00,,15.00,,61.00,,0.00,,38.00,
DeepSeek-R1-Distill-Qwen-32B,106.00,,43.01%,20.00%,1.906,77.13,5,0.00,,0.00,,18.00,,50.00,,38.00,
Qwen3-14B-Non-Thinking,99.00,24.41%,29.26%,0.00%,0.726,2.32,5,0.00,0.00%,0.00,0.00%,61.00,67.78%,0.00,0.00%,38.00,54.29%
Qwen3-32B-Non-Thinking,99.00,24.41%,30.37%,0.00%,0.730,3.87,5,0.00,0.00%,0.00,0.00%,61.00,67.78%,0.00,0.00%,38.00,54.29%
Qwen3-8B-Non-Thinking,99.00,24.41%,30.37%,0.00%,0.758,3.83,5,0.00,0.00%,0.00,0.00%,61.00,67.78%,0.00,0.00%,38.00,54.29%
Llama-4-Scout,99.00,24.41%,33.54%,0.00%,1.582,19.09,5,0.00,0.00%,0.00,0.00%,61.00,67.78%,0.00,0.00%,38.00,54.29%
DeepSeek-R1-Distill-Llama-70B,90.00,20.00%,20.00%,20.00%,0.122,2.58,5,0.00,0.00%,0.00,0.00%,90.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,84.00,,29.25%,0.00%,0.578,22.34,5,20.00,,0.00,,64.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,78.00,18.41%,28.15%,0.00%,0.732,2.12,5,0.00,0.00%,0.00,0.00%,61.00,67.78%,0.00,0.00%,17.00,24.29%
Qwen3-30B-Non-Thinking,77.00,21.56%,27.78%,20.00%,0.520,2.54,5,0.00,0.00%,0.00,0.00%,7.00,7.78%,0.00,0.00%,70.00,100.00%
Llama-3.3-70B-Instruct,67.00,,22.59%,0.00%,0.680,1.35,5,0.00,,0.00,,50.00,,0.00,,17.00,
DeepSeek-R1-Distill-Qwen-14B,61.00,,15.93%,0.00%,0.444,1.70,5,0.00,,0.00,,61.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,60.00,14.91%,25.54%,0.00%,1.572,49.87,5,0.00,0.00%,15.00,12.50%,7.00,7.78%,0.00,0.00%,38.00,54.29%
seed-oss_4096,57.00,,23.70%,20.00%,0.490,10.93,5,0.00,,0.00,,7.00,,50.00,,0.00,
Qwen3-4B-Non-Thinking,45.00,12.41%,19.26%,0.00%,0.284,3.10,5,0.00,0.00%,0.00,0.00%,7.00,7.78%,0.00,0.00%,38.00,54.29%
Qwen2.5-Coder-14B-Instruct,45.00,12.41%,18.15%,0.00%,0.298,3.82,5,0.00,0.00%,0.00,0.00%,7.00,7.78%,0.00,0.00%,38.00,54.29%
Codestral-22B-v0.1,45.00,12.41%,19.26%,0.00%,0.728,1.82,5,0.00,0.00%,0.00,0.00%,7.00,7.78%,0.00,0.00%,38.00,54.29%
DeepSeek-Coder-V2-Lite-Instruct,24.00,6.41%,10.37%,0.00%,0.740,2.73,5,0.00,0.00%,0.00,0.00%,7.00,7.78%,0.00,0.00%,17.00,24.29%
seed-oss_512,22.00,,11.27%,0.00%,0.870,35.89,5,0.00,,15.00,,7.00,,0.00,,0.00,
seed-oss_0,7.00,,5.93%,0.00%,0.482,4.25,5,0.00,,0.00,,7.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,7.00,1.56%,6.67%,0.00%,0.488,1.81,5,0.00,0.00%,0.00,0.00%,7.00,7.78%,0.00,0.00%,0.00,0.00%
seed-oss_1024,7.00,,5.93%,0.00%,0.490,2.31,5,0.00,,0.00,,7.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,1.11%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,1.11%,0.00%,0.024,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
