Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
grok-4-fast-reasoning,959.00,73.77%,79.34%,69.23%,0.181,12.19,13
gpt-5,900.00,56.25%,56.25%,56.25%,0.100,7.76,16
gpt-oss-120b-high,736.00,46.00%,48.59%,43.75%,0.080,7.64,16
gpt-oss-120b_sp4,711.00,44.44%,45.10%,43.75%,0.039,5.52,16
gpt-oss-120b_sp3,662.00,41.38%,49.58%,37.50%,0.034,6.61,16
gpt-oss-20b-medium,636.00,39.75%,44.78%,37.50%,0.361,5.81,16
gpt-oss-120b_sp2,625.00,39.06%,43.43%,37.50%,0.330,6.74,16
gemini-2.5-pro,600.00,37.50%,44.65%,31.25%,0.181,39.36,16
gpt-o3-mini-high,572.00,35.75%,41.21%,31.25%,0.583,5.57,16
gpt-oss-120b-medium,548.00,34.25%,39.41%,31.25%,0.072,6.24,16
gpt-oss-120b_sp1,537.00,33.56%,39.50%,31.25%,0.061,4.53,16
gpt-oss-20b-high,500.00,38.46%,38.46%,38.46%,0.059,4.85,13
claude-sonnet-4.5,480.00,36.92%,47.38%,23.08%,0.985,90.82,13
gpt-oss-20b-low,472.00,29.50%,34.16%,25.00%,0.196,4.00,16
seed-oss_-1,461.00,28.81%,36.02%,25.00%,0.585,5.97,16
gemini-2.5-flash,427.00,26.69%,34.69%,18.75%,0.448,95.63,16
Qwen3-30B,387.00,,36.03%,18.75%,0.158,61.04,16
deepseek-reasoner,371.00,23.19%,30.86%,18.75%,0.292,5.27,16
OpenCodeReasoning-Nemotron-32B-IOI,361.00,22.56%,30.56%,18.75%,0.466,79.69,16
seed-oss_8192,324.00,,26.57%,18.75%,0.323,7.04,16
Qwen3-32B,315.00,,36.13%,12.50%,0.527,5.60,16
gpt-oss-120b-low,295.00,18.44%,29.54%,12.50%,0.128,6.59,16
Qwen3-14B,257.00,,29.66%,12.50%,0.297,99.30,16
seed-oss_4096,256.00,,20.25%,12.50%,0.172,1.83,16
OlympicCoder-7B,226.00,14.12%,20.70%,12.50%,0.282,3.88,16
deepseek-chat,217.00,13.56%,25.22%,6.25%,0.289,139.04,16
gpt-4.1,197.00,12.31%,24.65%,6.25%,0.149,80.03,16
DeepSeek-R1-Distill-Llama-70B,173.00,10.81%,24.53%,6.25%,0.585,78.97,16
seed-oss_2048,153.00,,16.55%,6.25%,0.294,36.65,16
Qwen3-8B,132.00,8.25%,19.63%,6.25%,0.278,102.11,16
Qwen3-4B,132.00,8.25%,19.73%,6.25%,0.287,102.55,16
Llama-3.1-8B-Instruct,119.00,7.44%,9.35%,6.25%,0.031,1.77,16
seed-oss_0,116.00,,14.47%,6.25%,0.319,2.60,16
seed-oss_1024,114.00,,11.39%,6.25%,0.022,2.02,16
seed-oss_512,96.00,,11.47%,0.00%,0.169,39.29,16
Llama-3.3-70B-Instruct,95.00,,15.43%,0.00%,1.129,2.75,16
Qwen2.5-72B,91.00,,14.98%,0.00%,0.173,1.52,16
Qwen3-30B-Non-Thinking,61.00,3.81%,16.65%,0.00%,0.718,7.74,16
Qwen3-32B-Non-Thinking,59.00,3.69%,13.25%,0.00%,0.319,73.18,16
Qwen2.5-Coder-14B-Instruct,58.00,3.62%,11.41%,0.00%,0.120,3.12,16
Llama-4-Scout,47.00,2.94%,13.45%,0.00%,0.077,78.03,16
DeepSeek-Coder-V2-Lite-Instruct,44.00,2.75%,9.04%,0.00%,0.260,0.77,16
Qwen3-14B-Non-Thinking,43.00,2.69%,9.31%,0.00%,0.619,49.92,16
Mistral-Small-3.1-24B-2503,42.00,2.62%,7.93%,0.00%,0.547,4.69,16
Qwen3-8B-Non-Thinking,39.00,2.44%,13.74%,0.00%,0.469,133.87,16
Mistral-Large-Instruct-2411,30.00,1.88%,11.68%,0.00%,0.554,4.64,16
Qwen3-4B-Non-Thinking,20.00,1.25%,11.22%,0.00%,0.448,81.68,16
Codestral-22B-v0.1,19.00,1.19%,4.92%,0.00%,0.027,3.18,16
DeepSeek-R1-Distill-Llama-8B,14.00,0.88%,2.63%,0.00%,0.006,0.00,16
QwQ-32B,11.00,1.83%,5.72%,0.00%,0.132,85.87,6
DeepSeek-R1-Distill-Qwen-32B,10.00,1.67%,3.40%,0.00%,0.025,0.34,6
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,16
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,3.11%,0.00%,0.013,0.00,6
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,1.83%,0.00%,0.025,0.00,6
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,5.06%,0.00%,0.028,0.39,16
