Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,beechtree,beechtree_rel,closing,closing_rel,longesttrip,longesttrip_rel,overtaking,overtaking_rel,robot,robot_rel,soccer,soccer_rel
gpt-5,173.00,28.83%,37.37%,16.67%,0.173,32.84,6,9.00,9.00%,43.00,43.00%,15.00,15.00%,100.00,100.00%,0.00,0.00%,6.00,6.00%
gemini-2.5-pro,160.00,26.67%,42.57%,0.00%,1.738,413.79,6,0.00,0.00%,75.00,75.00%,40.00,40.00%,39.00,39.00%,6.00,6.00%,0.00,0.00%
gpt-oss-120b-high,133.00,22.17%,32.69%,16.67%,0.575,36.72,6,9.00,9.00%,8.00,8.00%,10.00,10.00%,100.00,100.00%,0.00,0.00%,6.00,6.00%
claude-sonnet-4.5,131.00,21.83%,43.27%,0.00%,1.582,75.48,6,9.00,9.00%,17.00,17.00%,40.00,40.00%,65.00,65.00%,0.00,0.00%,0.00,0.00%
seed-oss_-1,125.00,20.83%,29.37%,0.00%,0.662,17.94,6,0.00,0.00%,8.00,8.00%,40.00,40.00%,65.00,65.00%,6.00,6.00%,6.00,6.00%
grok-4-fast-reasoning,119.00,19.83%,35.27%,0.00%,0.690,129.21,6,0.00,0.00%,17.00,17.00%,15.00,15.00%,65.00,65.00%,16.00,16.00%,6.00,6.00%
gpt-o3-mini-high,112.00,18.67%,29.63%,0.00%,0.863,24.73,6,9.00,9.00%,17.00,17.00%,15.00,15.00%,65.00,65.00%,6.00,6.00%,0.00,0.00%
claude-haiku-4.5,107.00,17.83%,37.72%,0.00%,1.398,174.65,6,9.00,9.00%,18.00,18.00%,15.00,15.00%,65.00,65.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,69.00,11.50%,21.66%,0.00%,0.902,272.01,6,0.00,0.00%,0.00,0.00%,30.00,30.00%,39.00,39.00%,0.00,0.00%,0.00,0.00%
gemini-2.5-flash,63.00,10.50%,20.68%,0.00%,1.045,71.14,6,9.00,9.00%,0.00,0.00%,15.00,15.00%,39.00,39.00%,0.00,0.00%,0.00,0.00%
deepseek-chat,62.00,10.33%,22.67%,0.00%,0.840,12.09,6,0.00,0.00%,8.00,8.00%,15.00,15.00%,39.00,39.00%,0.00,0.00%,0.00,0.00%
gpt-4.1,57.00,9.50%,14.57%,0.00%,0.202,12.56,6,0.00,0.00%,8.00,8.00%,30.00,30.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,44.00,7.33%,14.29%,0.00%,0.513,8.21,6,0.00,0.00%,0.00,0.00%,5.00,5.00%,39.00,39.00%,0.00,0.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,42.00,7.00%,13.11%,0.00%,0.070,19.38,6,0.00,0.00%,8.00,8.00%,15.00,15.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp2,42.00,7.00%,16.89%,0.00%,0.080,9.74,6,0.00,0.00%,8.00,8.00%,15.00,15.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
QwQ-32B,40.00,20.00%,26.20%,0.00%,0.140,2.03,2,N/A,N/A,N/A,N/A,40.00,40.00%,N/A,N/A,0.00,0.00%,N/A,N/A
