Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,AA_Tree,AA_Tree_rel,Circles,Circles_rel,Heroes,Heroes_rel,Pinball,Pinball_rel,Statues,Statues_rel,To_be_xor_not_to_be,To_be_xor_not_to_be_rel
gpt-5,436.00,72.67%,85.83%,50.00%,0.552,51.48,6,19.00,19.00%,100.00,100.00%,100.00,100.00%,40.00,40.00%,100.00,100.00%,77.00,77.00%
gpt-oss-120b-high,425.00,70.83%,76.29%,66.67%,0.427,35.00,6,19.00,19.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,6.00,6.00%
grok-4-fast-reasoning,410.00,68.33%,83.77%,50.00%,0.183,38.03,6,53.00,53.00%,100.00,100.00%,100.00,100.00%,40.00,40.00%,100.00,100.00%,17.00,17.00%
gemini-2.5-pro,295.00,49.17%,72.24%,33.33%,0.848,27.00,6,19.00,19.00%,100.00,100.00%,0.00,0.00%,40.00,40.00%,100.00,100.00%,36.00,36.00%
gpt-oss-20b-high,270.00,54.00%,64.79%,40.00%,0.920,16.56,5,19.00,19.00%,100.00,100.00%,N/A,N/A,51.00,51.00%,100.00,100.00%,0.00,0.00%
gpt-oss-120b_sp3,265.00,44.17%,61.80%,33.33%,0.302,45.66,6,19.00,19.00%,100.00,100.00%,0.00,0.00%,40.00,40.00%,100.00,100.00%,6.00,6.00%
gpt-oss-120b_sp1,251.00,41.83%,53.23%,33.33%,0.753,22.50,6,0.00,0.00%,100.00,100.00%,0.00,0.00%,51.00,51.00%,100.00,100.00%,0.00,0.00%
gpt-oss-120b-medium,240.00,40.00%,52.39%,33.33%,0.317,50.64,6,0.00,0.00%,100.00,100.00%,0.00,0.00%,40.00,40.00%,100.00,100.00%,0.00,0.00%
gpt-o3-mini-high,240.00,40.00%,52.67%,33.33%,0.352,42.90,6,0.00,0.00%,100.00,100.00%,0.00,0.00%,40.00,40.00%,100.00,100.00%,0.00,0.00%
gpt-oss-120b_sp4,240.00,40.00%,52.39%,33.33%,0.378,38.91,6,0.00,0.00%,100.00,100.00%,0.00,0.00%,40.00,40.00%,100.00,100.00%,0.00,0.00%
gpt-oss-120b_sp2,181.00,30.17%,48.83%,16.67%,0.255,60.66,6,0.00,0.00%,100.00,100.00%,0.00,0.00%,40.00,40.00%,35.00,35.00%,6.00,6.00%
gemini-2.5-flash,180.00,30.00%,50.69%,16.67%,1.023,102.36,6,19.00,19.00%,100.00,100.00%,0.00,0.00%,9.00,9.00%,46.00,46.00%,6.00,6.00%
gpt-oss-20b-medium,175.00,29.17%,46.02%,16.67%,0.720,18.49,6,0.00,0.00%,100.00,100.00%,0.00,0.00%,51.00,51.00%,24.00,24.00%,0.00,0.00%
seed-oss_-1,161.00,26.83%,40.95%,16.67%,1.062,54.31,6,0.00,0.00%,4.00,4.00%,0.00,0.00%,51.00,51.00%,100.00,100.00%,6.00,6.00%
gpt-oss-120b-low,159.00,26.50%,43.57%,16.67%,0.938,31.46,6,0.00,0.00%,100.00,100.00%,0.00,0.00%,13.00,13.00%,46.00,46.00%,0.00,0.00%
claude-sonnet-4.5,154.00,25.67%,56.98%,0.00%,1.127,9.22,6,53.00,53.00%,18.00,18.00%,7.00,7.00%,21.00,21.00%,46.00,46.00%,9.00,9.00%
seed-oss_16384,113.00,,46.12%,0.00%,0.602,91.93,6,0.00,,14.00,,7.00,,40.00,,46.00,,6.00,
Qwen3-32B,85.00,14.17%,39.73%,0.00%,1.187,16.15,6,0.00,0.00%,18.00,18.00%,0.00,0.00%,51.00,51.00%,10.00,10.00%,6.00,6.00%
seed-oss_8192,76.00,,29.43%,0.00%,0.677,76.17,6,53.00,,4.00,,0.00,,9.00,,10.00,,0.00,
gpt-4.1,69.00,11.50%,28.80%,0.00%,1.165,72.51,6,0.00,0.00%,14.00,14.00%,0.00,0.00%,0.00,0.00%,46.00,46.00%,9.00,9.00%
deepseek-reasoner,68.00,11.33%,32.08%,0.00%,0.937,15.05,6,0.00,0.00%,18.00,18.00%,0.00,0.00%,40.00,40.00%,10.00,10.00%,0.00,0.00%
gpt-oss-20b-low,64.00,10.67%,21.78%,0.00%,0.248,36.34,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,40.00,40.00%,24.00,24.00%,0.00,0.00%
Qwen3-30B,62.00,10.33%,26.08%,0.00%,0.940,6.19,6,0.00,0.00%,25.00,25.00%,0.00,0.00%,13.00,13.00%,24.00,24.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,37.00,6.17%,17.97%,0.00%,0.570,48.24,6,0.00,0.00%,4.00,4.00%,0.00,0.00%,9.00,9.00%,24.00,24.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,37.00,6.17%,17.03%,0.00%,0.940,15.74,6,0.00,0.00%,18.00,18.00%,0.00,0.00%,13.00,13.00%,0.00,0.00%,6.00,6.00%
QwQ-32B,33.00,5.50%,15.17%,0.00%,0.967,52.41,6,0.00,0.00%,14.00,14.00%,0.00,0.00%,13.00,13.00%,0.00,0.00%,6.00,6.00%
Qwen3-8B-Non-Thinking,24.00,4.80%,12.97%,0.00%,0.608,5.85,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,24.00,24.00%,0.00,0.00%
Qwen2.5-72B,24.00,4.00%,10.81%,0.00%,0.662,56.26,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,24.00,24.00%,0.00,0.00%
deepseek-chat,22.00,3.67%,15.93%,0.00%,0.308,29.54,6,0.00,0.00%,4.00,4.00%,0.00,0.00%,9.00,9.00%,0.00,0.00%,9.00,9.00%
Qwen3-14B,14.00,2.33%,10.40%,0.00%,0.925,13.53,6,0.00,0.00%,14.00,14.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,11.00,1.83%,15.77%,0.00%,0.387,14.32,6,0.00,0.00%,4.00,4.00%,0.00,0.00%,0.00,0.00%,7.00,7.00%,0.00,0.00%
Llama-3.3-70B-Instruct,10.00,1.67%,9.65%,0.00%,0.597,39.73,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,8.00,1.33%,9.10%,0.00%,0.640,1.35,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,6.00,,8.33%,0.00%,0.122,24.98,6,0.00,,0.00,,0.00,,0.00,,0.00,,6.00,
Qwen3-4B-Non-Thinking,4.00,0.67%,2.15%,0.00%,0.302,9.07,6,0.00,0.00%,4.00,4.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,4.00,0.67%,7.70%,0.00%,0.302,3.10,6,0.00,0.00%,4.00,4.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B,4.00,0.67%,11.33%,0.00%,0.710,4.26,6,0.00,0.00%,4.00,4.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B,4.00,0.67%,8.24%,0.00%,0.725,3.09,6,0.00,0.00%,4.00,4.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
