Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Hungry_Cow,bronze_Hungry_Cow_rel,bronze_Stamp_Grid,bronze_Stamp_Grid_rel,bronze_Watching_Mooloo,bronze_Watching_Mooloo_rel,gold_Equal_Sum_Subarrays,gold_Equal_Sum_Subarrays_rel,gold_Fertilizing_Pastures,gold_Fertilizing_Pastures_rel,gold_Piling_Papers,gold_Piling_Papers_rel,platinum_Hungry_Cow,platinum_Hungry_Cow_rel,platinum_Problem_Setting,platinum_Problem_Setting_rel,platinum_Watching_Cowflix,platinum_Watching_Cowflix_rel,silver_Bakery,silver_Bakery_rel,silver_Cow-libi,silver_Cow-libi_rel,silver_Moo_Route_II,silver_Moo_Route_II_rel
gpt-5,3996.00,102.35%,100.00%,100.00%,0.237,11.91,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,333.00,104.06%,333.00,102.78%,333.00,104.06%,333.00,104.06%,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,102.78%
gpt-oss-120b-high,3557.00,91.11%,89.24%,83.33%,0.232,32.36,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,333.00,104.06%,0.00,0.00%,333.00,104.06%,333.00,104.06%,227.00,68.79%,333.00,100.91%,333.00,100.91%,333.00,102.78%
gpt-oss-120b-medium,3303.00,84.39%,83.74%,75.00%,1.175,39.93,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,133.00,41.56%,56.00,17.28%,117.00,36.56%,333.00,104.06%,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,102.78%
gpt-oss-120b_sp1,3164.00,80.98%,80.90%,75.00%,0.858,36.18,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,333.00,104.06%,56.00,17.28%,50.00,15.62%,333.00,104.06%,61.00,18.48%,333.00,100.91%,333.00,100.91%,333.00,102.78%
gpt-o3-mini-high,3131.00,80.12%,80.14%,75.00%,0.337,36.40,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,333.00,104.06%,56.00,17.28%,17.00,5.31%,333.00,104.06%,61.00,18.48%,333.00,100.91%,333.00,100.91%,333.00,102.78%
seed-oss_-1,3086.00,79.00%,79.13%,75.00%,1.022,34.61,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,333.00,104.06%,56.00,17.28%,33.00,10.31%,333.00,104.06%,0.00,0.00%,333.00,100.91%,333.00,100.91%,333.00,102.78%
gpt-oss-120b_sp3,3075.00,78.68%,78.48%,75.00%,0.176,34.84,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,333.00,104.06%,0.00,0.00%,17.00,5.31%,333.00,104.06%,61.00,18.48%,333.00,100.91%,333.00,100.91%,333.00,102.78%
gpt-oss-20b-medium,3075.00,78.68%,78.86%,75.00%,0.960,35.69,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,333.00,104.06%,0.00,0.00%,17.00,5.31%,333.00,104.06%,61.00,18.48%,333.00,100.91%,333.00,100.91%,333.00,102.78%
gpt-oss-120b_sp4,3070.00,78.58%,78.75%,75.00%,0.318,33.31,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,333.00,104.06%,56.00,17.28%,17.00,5.31%,333.00,104.06%,0.00,0.00%,333.00,100.91%,333.00,100.91%,333.00,102.78%
gpt-oss-120b_sp2,3064.00,78.45%,77.91%,75.00%,0.905,35.12,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,333.00,104.06%,0.00,0.00%,67.00,20.94%,333.00,104.06%,0.00,0.00%,333.00,100.91%,333.00,100.91%,333.00,102.78%
grok-4-fast-reasoning,3029.00,84.60%,84.19%,81.82%,1.103,15.15,11,333.00,100.91%,N/A,N/A,333.00,100.91%,333.00,103.42%,333.00,104.06%,333.00,102.78%,17.00,5.31%,333.00,104.06%,15.00,4.55%,333.00,100.91%,333.00,100.91%,333.00,102.78%
gpt-oss-20b-high,3014.00,77.14%,76.83%,75.00%,0.757,9.06,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,333.00,104.06%,0.00,0.00%,17.00,5.31%,333.00,104.06%,0.00,0.00%,333.00,100.91%,333.00,100.91%,333.00,102.78%
