Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_FEB,bronze_FEB_rel,bronze_Moo_Language,bronze_Moo_Language_rel,bronze_Rotate_and_Shift,bronze_Rotate_and_Shift_rel,gold_Custodial_Cleanup,gold_Custodial_Cleanup_rel,gold_Pareidolia,gold_Pareidolia_rel,gold_Tree_Merging,gold_Tree_Merging_rel,platinum_Good_Bitstrings,platinum_Good_Bitstrings_rel,platinum_Pareidolia,platinum_Pareidolia_rel,platinum_Triples_of_Cows,platinum_Triples_of_Cows_rel,silver_Field_Day,silver_Field_Day_rel,silver_Milk_Sum,silver_Milk_Sum_rel,silver_Pareidolia,silver_Pareidolia_rel
gpt-5,2551.00,65.55%,65.21%,58.33%,0.189,32.81,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,333.00,103.42%,0.00,0.00%,0.00,0.00%,333.00,104.06%,137.00,42.41%,333.00,103.10%,333.00,100.91%,333.00,100.91%
grok-4-fast-reasoning,2458.00,63.13%,63.51%,58.33%,0.257,16.11,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,333.00,103.42%,44.00,13.33%,0.00,0.00%,333.00,104.06%,0.00,0.00%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gpt-oss-20b-high,2414.00,74.42%,73.33%,70.00%,0.156,11.12,10,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,333.00,103.42%,0.00,0.00%,N/A,N/A,333.00,104.06%,N/A,N/A,333.00,103.10%,333.00,100.91%,333.00,100.91%
gpt-oss-120b_sp2,2414.00,62.02%,61.90%,58.33%,0.060,12.36,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,333.00,103.42%,0.00,0.00%,0.00,0.00%,333.00,104.06%,0.00,0.00%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gpt-oss-120b_sp3,2414.00,62.02%,61.90%,58.33%,0.124,29.16,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,333.00,103.42%,0.00,0.00%,0.00,0.00%,333.00,104.06%,0.00,0.00%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gpt-oss-120b-high,2414.00,62.02%,62.76%,58.33%,0.143,9.43,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,333.00,103.42%,0.00,0.00%,0.00,0.00%,333.00,104.06%,0.00,0.00%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gpt-oss-120b-medium,2414.00,62.02%,61.48%,58.33%,0.146,12.84,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,333.00,103.42%,0.00,0.00%,0.00,0.00%,333.00,104.06%,0.00,0.00%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gpt-oss-120b_sp1,2414.00,62.02%,61.90%,58.33%,0.164,13.96,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,333.00,103.42%,0.00,0.00%,0.00,0.00%,333.00,104.06%,0.00,0.00%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gpt-oss-120b_sp4,2331.00,59.86%,59.63%,58.33%,0.223,28.85,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,0.00,0.00%,333.00,103.42%,0.00,0.00%,0.00,0.00%,333.00,104.06%,0.00,0.00%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gemini-2.5-pro,2270.00,58.26%,58.76%,50.00%,0.471,78.73,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,333.00,103.42%,0.00,0.00%,0.00,0.00%,150.00,46.88%,39.00,12.07%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gpt-o3-mini-high,2220.00,56.96%,57.57%,50.00%,0.783,32.87,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,333.00,103.42%,0.00,0.00%,33.00,10.31%,67.00,20.94%,39.00,12.07%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gpt-oss-20b-medium,2148.00,55.09%,55.55%,50.00%,0.498,4.60,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,333.00,103.42%,0.00,0.00%,0.00,0.00%,67.00,20.94%,0.00,0.00%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gpt-oss-120b-low,1998.00,51.18%,50.88%,50.00%,0.143,6.85,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,0.00,0.00%,333.00,103.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.10%,333.00,100.91%,333.00,100.91%
seed-oss_-1,1863.00,47.71%,48.83%,41.67%,0.713,9.54,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,48.00,14.91%,0.00,0.00%,0.00,0.00%,67.00,20.94%,0.00,0.00%,333.00,103.10%,333.00,100.91%,333.00,100.91%
seed-oss_16384,1854.00,,49.06%,41.67%,0.628,29.50,12,333.00,,0.00,,333.00,,83.00,,0.00,,0.00,,0.00,,67.00,,39.00,,333.00,,333.00,,333.00,
gemini-2.5-flash,1788.00,45.92%,47.74%,41.67%,0.331,82.24,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,0.00,0.00%,333.00,103.42%,0.00,0.00%,0.00,0.00%,17.00,5.31%,39.00,12.07%,333.00,103.10%,67.00,20.30%,333.00,100.91%
claude-sonnet-4.5,1681.00,43.02%,45.93%,25.00%,1.515,109.00,12,118.00,36.53%,44.00,13.33%,167.00,51.54%,21.00,6.56%,333.00,103.42%,0.00,0.00%,33.00,10.31%,67.00,20.94%,39.00,12.07%,193.00,59.75%,333.00,100.91%,333.00,100.91%
gpt-oss-20b-low,1665.00,42.57%,43.04%,41.67%,0.205,3.66,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.10%,333.00,100.91%,333.00,100.91%
seed-oss_8192,1249.00,,33.23%,25.00%,0.423,5.71,12,333.00,,0.00,,167.00,,83.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,0.00,,333.00,
Qwen3-32B,1199.00,,33.90%,25.00%,1.005,14.44,12,333.00,,0.00,,167.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,333.00,,333.00,,0.00,
OpenCodeReasoning-Nemotron-32B-IOI,1079.00,27.64%,30.63%,16.67%,0.489,4.88,12,333.00,103.10%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,246.00,76.16%,333.00,100.91%,0.00,0.00%
gpt-4.1,1007.00,25.79%,29.66%,16.67%,1.826,80.88,12,118.00,36.53%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,39.00,12.07%,333.00,103.10%,333.00,100.91%,0.00,0.00%
deepseek-reasoner,970.00,24.83%,29.36%,16.67%,1.151,3.67,12,137.00,42.41%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.10%,333.00,100.91%,0.00,0.00%
Qwen3-30B,964.00,,29.17%,8.33%,1.234,17.60,12,118.00,,0.00,,167.00,,0.00,,0.00,,0.00,,33.00,,67.00,,0.00,,246.00,,333.00,,0.00,
QwQ-32B,916.00,,27.60%,8.33%,0.836,4.03,12,137.00,,0.00,,167.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,246.00,,333.00,,0.00,
Qwen3-14B,900.00,,25.00%,8.33%,1.021,7.67,12,137.00,,0.00,,167.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,246.00,,333.00,,0.00,
seed-oss_4096,714.00,,18.41%,8.33%,0.022,5.67,12,118.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,263.00,,0.00,,333.00,
DeepSeek-R1-Distill-Llama-70B,631.00,16.21%,18.89%,0.00%,0.683,3.79,12,118.00,36.53%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,246.00,76.16%,100.00,30.30%,0.00,0.00%
OlympicCoder-7B,603.00,15.49%,17.41%,0.00%,0.643,28.99,12,118.00,36.53%,0.00,0.00%,139.00,42.90%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,246.00,76.16%,100.00,30.30%,0.00,0.00%
Qwen3-4B,597.00,15.38%,20.01%,0.00%,1.302,6.04,12,118.00,36.53%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,0.00,0.00%,246.00,76.16%,33.00,10.00%,0.00,0.00%
Qwen3-8B,597.00,15.38%,20.01%,0.00%,1.310,14.17,12,118.00,36.53%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,0.00,0.00%,246.00,76.16%,33.00,10.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,525.00,13.48%,14.98%,0.00%,1.249,5.37,12,118.00,36.53%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,123.00,38.08%,100.00,30.30%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,516.00,,15.57%,0.00%,0.640,4.36,12,137.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,246.00,,133.00,,0.00,
deepseek-chat,468.00,12.02%,15.87%,0.00%,1.079,29.81,12,118.00,36.53%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,39.00,12.07%,211.00,65.33%,100.00,30.30%,0.00,0.00%
Qwen3-14B-Non-Thinking,435.00,11.15%,12.10%,0.00%,0.666,28.25,12,98.00,30.34%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,70.00,21.67%,100.00,30.30%,0.00,0.00%
Mistral-Large-Instruct-2411,419.00,10.75%,13.97%,0.00%,2.026,12.03,12,118.00,36.53%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,17.00,5.31%,0.00,0.00%,0.00,0.00%,100.00,30.30%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,364.00,,10.42%,0.00%,0.250,3.16,12,118.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,246.00,,0.00,,0.00,
