Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Maximizing_Productivity,bronze_Maximizing_Productivity_rel,bronze_Milk_Exchange,bronze_Milk_Exchange_rel,bronze_Palindrome_Game,bronze_Palindrome_Game_rel,gold_Bessla_Motors,gold_Bessla_Motors_rel,gold_Milk_Exchange,gold_Milk_Exchange_rel,gold_Quantum_Moochanics,gold_Quantum_Moochanics_rel,platinum_Infinite_Adventure,platinum_Infinite_Adventure_rel,platinum_Lazy_Cow,platinum_Lazy_Cow_rel,platinum_Minimum_Sum_of_Maximums,platinum_Minimum_Sum_of_Maximums_rel,silver_Moorbles,silver_Moorbles_rel,silver_Target_Practice_II,silver_Target_Practice_II_rel,silver_Test_Tubes,silver_Test_Tubes_rel
gpt-5,3318.00,85.40%,84.41%,75.00%,0.426,54.29,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,333.00,102.78%,333.00,104.06%,333.00,100.91%,188.00,58.75%,333.00,103.10%,83.00,25.94%,333.00,100.91%,333.00,103.42%,50.00,15.62%
grok-4-fast-reasoning,2960.00,76.14%,76.77%,58.33%,0.780,12.48,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,306.00,94.44%,333.00,104.06%,333.00,100.91%,125.00,39.06%,98.00,30.34%,50.00,15.62%,333.00,100.91%,333.00,103.42%,50.00,15.62%
gpt-oss-120b-high,2888.00,74.28%,74.78%,66.67%,0.431,59.89,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,333.00,102.78%,333.00,104.06%,333.00,100.91%,104.00,32.50%,20.00,6.19%,50.00,15.62%,333.00,100.91%,333.00,103.42%,50.00,15.62%
gpt-oss-120b_sp1,2834.00,72.88%,73.01%,58.33%,0.793,67.34,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,333.00,102.78%,333.00,104.06%,333.00,100.91%,104.00,32.50%,98.00,30.34%,117.00,36.56%,333.00,100.91%,167.00,51.86%,17.00,5.31%
gpt-oss-120b_sp3,2732.00,70.25%,70.10%,58.33%,0.696,77.47,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,333.00,102.78%,333.00,104.06%,333.00,100.91%,167.00,52.19%,0.00,0.00%,50.00,15.62%,333.00,100.91%,167.00,51.86%,17.00,5.31%
gpt-oss-120b_sp2,2711.00,69.70%,69.63%,58.33%,0.504,61.16,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,333.00,102.78%,333.00,104.06%,333.00,100.91%,146.00,45.62%,0.00,0.00%,50.00,15.62%,333.00,100.91%,167.00,51.86%,17.00,5.31%
gpt-oss-20b-high,2623.00,67.41%,68.59%,58.33%,0.322,61.55,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,333.00,102.78%,333.00,104.06%,333.00,100.91%,42.00,13.12%,0.00,0.00%,83.00,25.94%,333.00,100.91%,167.00,51.86%,0.00,0.00%
gpt-oss-120b_sp4,2559.00,65.76%,66.58%,58.33%,0.411,60.34,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,333.00,102.78%,333.00,104.06%,333.00,100.91%,104.00,32.50%,0.00,0.00%,50.00,15.62%,333.00,100.91%,24.00,7.45%,50.00,15.62%
gpt-oss-120b-medium,2556.00,65.69%,65.66%,58.33%,0.372,60.58,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,333.00,102.78%,333.00,104.06%,333.00,100.91%,125.00,39.06%,0.00,0.00%,50.00,15.62%,333.00,100.91%,0.00,0.00%,50.00,15.62%
gpt-oss-20b-medium,2547.00,65.48%,65.52%,50.00%,0.382,53.07,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,333.00,102.78%,333.00,104.06%,300.00,90.91%,125.00,39.06%,0.00,0.00%,50.00,15.62%,333.00,100.91%,24.00,7.45%,50.00,15.62%
gemini-2.5-pro,2431.00,62.41%,64.02%,50.00%,0.658,91.07,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,333.00,102.78%,83.00,25.94%,333.00,100.91%,83.00,25.94%,0.00,0.00%,50.00,15.62%,333.00,100.91%,167.00,51.86%,50.00,15.62%
gpt-o3-mini-high,2390.00,61.58%,61.95%,50.00%,0.415,56.82,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,333.00,102.78%,333.00,104.06%,33.00,10.00%,125.00,39.06%,0.00,0.00%,50.00,15.62%,333.00,100.91%,167.00,51.86%,17.00,5.31%
seed-oss_-1,2377.00,61.00%,62.83%,50.00%,0.838,25.11,12,333.00,104.06%,333.00,102.46%,333.00,102.78%,333.00,102.78%,50.00,15.62%,333.00,100.91%,62.00,19.38%,0.00,0.00%,50.00,15.62%,333.00,100.91%,167.00,51.86%,50.00,15.62%
gemini-2.5-flash,2012.00,51.57%,54.54%,41.67%,0.845,70.66,12,333.00,104.06%,205.00,63.08%,333.00,102.78%,333.00,102.78%,33.00,10.31%,333.00,100.91%,42.00,13.12%,0.00,0.00%,17.00,5.31%,333.00,100.91%,0.00,0.00%,50.00,15.62%
Qwen3-32B,1742.00,,48.10%,25.00%,0.584,43.03,12,333.00,,154.00,,333.00,,139.00,,50.00,,67.00,,83.00,,0.00,,33.00,,333.00,,167.00,,50.00,
gpt-oss-120b-low,1704.00,43.83%,46.24%,33.33%,0.688,23.47,12,333.00,104.06%,103.00,31.69%,333.00,102.78%,333.00,102.78%,33.00,10.31%,33.00,10.00%,83.00,25.94%,20.00,6.19%,50.00,15.62%,333.00,100.91%,0.00,0.00%,50.00,15.62%
OpenCodeReasoning-Nemotron-32B-IOI,1610.00,45.29%,46.77%,18.18%,0.729,10.11,11,333.00,104.06%,282.00,86.77%,333.00,102.78%,278.00,85.80%,N/A,N/A,33.00,10.00%,83.00,25.94%,0.00,0.00%,17.00,5.31%,67.00,20.30%,167.00,51.86%,17.00,5.31%
claude-sonnet-4.5,1596.00,41.20%,47.82%,16.67%,1.555,80.84,12,333.00,104.06%,205.00,63.08%,333.00,102.78%,139.00,42.90%,50.00,15.62%,33.00,10.00%,104.00,32.50%,98.00,30.34%,17.00,5.31%,67.00,20.30%,167.00,51.86%,50.00,15.62%
seed-oss_8192,1568.00,,41.62%,25.00%,0.781,56.66,12,333.00,,154.00,,333.00,,306.00,,0.00,,0.00,,42.00,,0.00,,17.00,,333.00,,0.00,,50.00,
