Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Making_Mexes,bronze_Making_Mexes_rel,bronze_Printing_Sequences,bronze_Printing_Sequences_rel,bronze_Reflection,bronze_Reflection_rel,gold_Bessies_Function,gold_Bessies_Function_rel,gold_Friendship_Editing,gold_Friendship_Editing_rel,gold_The_Best_Subsequence,gold_The_Best_Subsequence_rel,platinum_Min_Max_Subarrays,platinum_Min_Max_Subarrays_rel,platinum_Transforming_Pairs,platinum_Transforming_Pairs_rel,platinum_True_or_False_Test,platinum_True_or_False_Test_rel,silver_The_Best_Lineup,silver_The_Best_Lineup_rel,silver_Transforming_Pairs,silver_Transforming_Pairs_rel,silver_Vocabulary_Quiz,silver_Vocabulary_Quiz_rel
gpt-oss-120b-high,3663.00,93.38%,93.59%,91.67%,0.237,16.44,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,333.00,103.10%,0.00,0.00%,333.00,102.78%,333.00,103.10%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gpt-5,3663.00,93.38%,93.59%,91.67%,0.249,15.63,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,333.00,103.10%,0.00,0.00%,333.00,102.78%,333.00,103.10%,333.00,103.10%,333.00,100.91%,333.00,100.91%
grok-4-fast-reasoning,3102.00,78.94%,80.28%,75.00%,0.378,8.18,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,333.00,103.10%,0.00,0.00%,0.00,0.00%,105.00,32.51%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gpt-oss-120b_sp3,2754.00,69.96%,72.04%,66.67%,0.423,15.16,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,333.00,103.10%,0.00,0.00%,37.00,11.42%,53.00,16.41%,0.00,0.00%,333.00,100.91%,333.00,100.91%
gpt-oss-120b-medium,2701.00,68.59%,70.79%,66.67%,0.207,8.75,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,333.00,103.10%,0.00,0.00%,37.00,11.42%,0.00,0.00%,0.00,0.00%,333.00,100.91%,333.00,100.91%
gpt-oss-120b_sp1,2701.00,68.59%,70.79%,66.67%,0.267,15.59,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,333.00,103.10%,0.00,0.00%,37.00,11.42%,0.00,0.00%,0.00,0.00%,333.00,100.91%,333.00,100.91%
gpt-oss-20b-high,2664.00,90.18%,88.89%,88.89%,0.241,17.26,9,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,333.00,103.10%,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,333.00,100.91%,333.00,100.91%
seed-oss_-1,2532.00,64.23%,67.45%,58.33%,0.661,7.84,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,59.00,18.27%,0.00,0.00%,37.00,11.42%,105.00,32.51%,0.00,0.00%,333.00,100.91%,333.00,100.91%
gpt-oss-120b_sp4,2532.00,64.23%,67.45%,58.33%,0.733,20.20,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,59.00,18.27%,0.00,0.00%,37.00,11.42%,105.00,32.51%,0.00,0.00%,333.00,100.91%,333.00,100.91%
gpt-oss-120b_sp2,2493.00,63.22%,65.98%,58.33%,0.748,19.47,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,20.00,6.19%,0.00,0.00%,37.00,11.42%,105.00,32.51%,0.00,0.00%,333.00,100.91%,333.00,100.91%
