Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,35933.00,83.71%,83.44%,75.76%,0.347,25.00,132
gpt-oss-120b-high,35154.00,81.91%,81.58%,75.76%,0.405,28.24,132
grok-4-fast-reasoning,29792.00,75.18%,75.57%,63.11%,0.714,26.61,122
gpt-oss-20b-high,29510.00,79.49%,79.21%,74.56%,0.504,21.36,114
gpt-oss-120b-medium,28761.00,66.92%,67.46%,59.09%,0.500,28.29,132
gpt-oss-120b_sp2,28553.00,66.45%,66.90%,59.09%,0.428,30.27,132
gpt-oss-120b_sp4,28416.00,66.12%,67.03%,59.09%,0.463,25.89,132
gpt-oss-120b_sp1,28267.00,65.80%,66.64%,56.82%,0.498,32.26,132
gpt-o3-mini-high,27795.00,64.73%,66.33%,53.79%,0.684,38.33,132
gpt-oss-120b_sp3,27742.00,64.56%,65.57%,55.30%,0.463,35.96,132
gemini-2.5-pro,27420.00,63.82%,65.58%,53.03%,0.739,54.43,132
seed-oss_-1,25875.00,60.22%,61.78%,52.27%,0.644,24.75,132
gpt-oss-20b-medium,24994.00,59.50%,60.26%,51.94%,0.474,19.98,129
gemini-2.5-flash,23506.00,54.62%,56.91%,43.94%,1.071,68.45,132
claude-sonnet-4.5,21033.00,48.89%,53.54%,30.30%,1.492,90.13,132
gpt-oss-120b-low,20414.00,47.38%,48.11%,38.64%,0.458,26.27,132
deepseek-reasoner,20112.00,46.74%,49.26%,36.36%,0.793,20.01,132
seed-oss_8192,19281.00,,46.08%,35.61%,0.531,24.20,132
Qwen3-32B,18831.00,,46.76%,33.33%,0.741,27.14,132
OpenCodeReasoning-Nemotron-32B-IOI,17705.00,41.77%,43.96%,30.77%,0.682,16.06,130
gpt-oss-20b-low,15732.00,36.75%,38.31%,29.01%,0.437,13.17,131
QwQ-32B,15448.00,,38.55%,26.52%,0.620,9.05,132
Qwen3-14B,14936.00,,37.46%,22.73%,0.849,22.61,132
Qwen3-30B,14485.00,,37.82%,22.31%,0.881,20.59,130
gpt-4.1,13412.00,31.15%,34.99%,18.18%,1.152,51.82,132
Qwen3-8B,13355.00,31.01%,34.76%,19.70%,0.887,18.77,132
DeepSeek-R1-Distill-Llama-70B,12648.00,29.35%,32.37%,19.70%,0.748,28.49,132
DeepSeek-R1-Distill-Qwen-32B,11952.00,,30.22%,17.42%,0.693,18.06,132
deepseek-chat,11655.00,27.08%,30.02%,16.67%,0.860,31.35,132
Qwen3-4B,10141.00,23.67%,27.43%,15.27%,0.800,18.92,131
OlympicCoder-7B,8152.00,18.89%,21.44%,11.36%,0.558,15.89,132
seed-oss_2048,8063.00,,19.90%,12.88%,0.281,13.30,132
DeepSeek-R1-Distill-Qwen-14B,7004.00,,18.84%,9.85%,0.458,11.63,132
seed-oss_1024,6539.00,,16.49%,10.61%,0.193,8.62,132
Qwen3-30B-Non-Thinking,6441.00,14.98%,17.27%,6.82%,0.792,11.36,132
seed-oss_512,5806.00,,14.32%,8.33%,0.362,3.73,132
Qwen3-32B-Non-Thinking,5554.00,12.95%,14.89%,6.06%,0.773,25.71,132
Llama-4-Scout,4820.00,11.19%,14.91%,3.03%,1.049,23.43,132
Qwen3-14B-Non-Thinking,4654.00,10.96%,13.29%,3.08%,0.811,23.35,130
Qwen2.5-Coder-32B-Instruct,4545.00,,13.17%,3.03%,0.858,31.83,132
Llama-3.3-70B-Instruct,4226.00,,13.20%,2.27%,1.055,18.19,132
Mistral-Large-Instruct-2411,4020.00,9.35%,12.54%,2.27%,1.106,25.75,132
Qwen3-8B-Non-Thinking,3621.00,8.60%,10.58%,2.33%,0.675,22.66,129
Qwen2.5-Coder-14B-Instruct,3387.00,7.89%,10.21%,0.76%,0.645,25.87,132
Qwen2.5-72B,3191.00,,9.93%,1.52%,0.570,16.34,132
seed-oss_0,3060.00,,8.43%,3.03%,0.179,7.03,132
Qwen3-4B-Non-Thinking,2522.00,5.89%,7.78%,2.29%,0.535,18.45,131
Qwen2.5-Coder-7B-Instruct,1897.00,4.40%,5.42%,0.00%,0.510,1.53,132
Mistral-Small-3.1-24B-2503,1801.00,4.18%,6.34%,0.00%,0.474,6.90,132
DeepSeek-Coder-V2-Lite-Instruct,1455.00,3.38%,5.04%,0.00%,0.704,28.04,132
Codestral-22B-v0.1,1416.00,3.28%,4.62%,0.00%,0.367,6.56,132
DeepSeek-R1-Distill-Llama-8B,1221.00,2.81%,3.35%,1.52%,0.044,1.50,132
Llama-3.1-8B-Instruct,610.00,1.42%,2.41%,0.00%,0.249,9.02,132
seed-oss_4096,333.00,,100.00%,100.00%,0.050,1.70,1
seed-oss_16384,333.00,,16.67%,16.67%,0.003,0.27,6
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,10
