problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,RUNTIME_ERROR,6,40.00%,52.50%,0.010,0.00390625,,3,3,0,0,0,0,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.120,96.94921875,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,2,13.33%,13.10%,0.010,5.16796875,,2,0,0,0,0,0,0,0
s4,TIME_LIMIT_EXCEEDED,3,20.00%,20.59%,1.800,32.08203125,,3,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,4,26.67%,54.69%,1.800,0.00390625,,0,4,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.140,9.03515625,,3,3,4,4,4,7,0,0
d1p2,TIME_LIMIT_EXCEEDED,0,0.00%,1.90%,5.980,16.56640625,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,6.73%,0.100,5.1640625,,0,0,0,0,0,0,0,0
d2p1,MEMORY_LIMIT_EXCEEDED,1,4.00%,41.96%,0.530,1227.87109375,,1,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,0,0.00%,7.81%,2.410,340.6171875,,0,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,0.00%,15.09%,1.210,5.94140625,,0,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,ACCEPTED,15,100.00%,100.00%,0.030,2.9921875,,3,3,5,4,0,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.010,0,,2,2,2,9,0,0,0,0
TOTAL,,116,,54.29%,,,40.00%,,,,,,,,
