problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
More_Gifts,TIME_LIMIT_EXCEEDED,63,63.00%,91.76%,1.210,25.26953125,,0.0,14.0,0,0,0,12.0,16.0,21.0,0,0,0,0,0
Big_Persimmon,TIME_LIMIT_EXCEEDED,56,56.00%,73.47%,2.410,305.0,,0.0,10.0,0,0,0,12.0,19.0,15.0,0,0,0,0,0
Evidence_Board,TIME_LIMIT_EXCEEDED,10,10.00%,45.21%,2.420,56.71484375,,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0
Burenka_and_Pether,TIME_LIMIT_EXCEEDED,10,10.00%,42.18%,3.610,113.43359375,,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0
Almost_Certainly,TIME_LIMIT_EXCEEDED,29,29.00%,74.82%,1.210,4.390625,,0.0,16.0,0,0,0,13.0,0,0,0,0,0,0,0
Three_Arrays,TIME_LIMIT_EXCEEDED,61,61.00%,84.05%,1.210,3.35546875,,0.0,13.0,0,0,0,18.0,14.0,16.0,0,0,0,0,0
Parallel_Universes,TIME_LIMIT_EXCEEDED,78,78.00%,89.39%,2.410,2.578125,,0.0,9.0,0,0,0,7.0,10.0,11.0,15.0,8.0,12.0,6.0,0
Paired_roads,TIME_LIMIT_EXCEEDED,0,0.00%,22.30%,4.820,6.37890625,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Legs_warm-up_exercise,TIME_LIMIT_EXCEEDED,10,10.00%,36.86%,7.210,14.95703125,,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0
Hard_problem,TIME_LIMIT_EXCEEDED,65,65.00%,88.72%,1.210,4.39453125,,0.0,13.0,0,0,0,10.0,14.0,19.0,9.0,0,0,0,0
Yet_another_queries,TIME_LIMIT_EXCEEDED,19,19.00%,49.24%,1.800,9.29296875,,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0
Lunch,TIME_LIMIT_EXCEEDED,16,16.00%,48.51%,2.410,17.390625,,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0
Tournament,ACCEPTED,100,100.00%,100.00%,0.000,0,,0.0,14.0,9.0,0,0,8.0,11.0,12.0,9.0,10.0,9.0,8.0,10.0
You_need_to_train_more,ACCEPTED,100,100.00%,100.00%,0.070,2.84765625,,0.0,18.0,0,0,0,19.0,16.0,21.0,26.0,0,0,0,0
Colorful_graph,MEMORY_LIMIT_EXCEEDED,0,0.00%,14.38%,0.100,306.2890625,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Space_accident,ACCEPTED,100,100.00%,100.00%,0.050,2.07421875,,0.0,15.0,0,0,0,16.0,10.0,15.0,24.0,20.0,0,0,0
TOTAL,,717,,66.31%,,,18.75%,,,,,,,,,,,,,
