problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,ACCEPTED,15,100.00%,100.00%,0.060,2.84765625,,3,3,5,4,0,0,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.060,0.00390625,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,2,13.33%,13.10%,0.040,5.16796875,,2,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,1.47%,0.040,25.78515625,,0,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,4,26.67%,54.69%,1.820,1.83984375,,0,4,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.260,24.2421875,,3,3,4,4,4,7,0,0
d1p2,TIME_LIMIT_EXCEEDED,0,0.00%,1.90%,5.980,7.9453125,,0,0,0,0,0,0,0,0
d1p3,TIME_LIMIT_EXCEEDED,0,0.00%,8.65%,2.420,10.79296875,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,4,16.00%,40.18%,0.040,1.67578125,,1,3,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,2,8.00%,10.16%,0.150,33.65625,,2,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,0.00%,5.66%,1.210,8.55078125,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,ACCEPTED,15,100.00%,100.00%,0.060,3.015625,,3,3,5,4,0,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,2,2,2,9,0,0,0,0
TOTAL,,142,,58.49%,,,50.00%,,,,,,,,
