problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,100.00%,0.100,9.8046875,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,100.00%,0.090,4.66796875,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,0.68%,0.160,61.4921875,,0,0,0,0,0
cesta,RUNTIME_ERROR,0,0.00%,0.00%,0.070,10.0625,,0,0,0,0,0
zlagalica,ACCEPTED,50,100.00%,100.00%,0.060,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.00%,0.050,1.55078125,,0,0,0,0,0
piratski,WRONG_ANSWER,0,0.00%,0.00%,0.050,0,,0,0,0,0,0
rolete,RUNTIME_ERROR,26,23.64%,22.45%,0.250,2.84375,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.050,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,100.00%,0.070,4.390625,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,0.00%,3.85%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,59.09%,74.10%,2.450,5.41796875,,10,20,35,0,0
roboti,TIME_LIMIT_EXCEEDED,23,20.91%,52.27%,2.430,23.88671875,,10,13,0,0,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.080,6.078125,,7,16,22,25,0
dizalo,RUNTIME_ERROR,0,0.00%,0.00%,0.060,4.39453125,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,100.00%,0.080,35.84765625,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,100.00%,0.170,15.07421875,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.100,0.00390625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,1.070,114.4765625,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,0.00%,13.33%,0.060,0.00390625,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,27.27%,56.78%,3.620,28.4453125,,13,17,0,0,0
TOTAL,,1114,,60.94%,,,52.00%,,,,,
