competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,deepseek-reasoner,27979,40.80%,0.63,31.88,20.74%
APIO-2023,deepseek-reasoner,97,30.39%,1.18,35.36,0.00%
APIO-2024,deepseek-reasoner,5,5.95%,0.22,5.97,0.00%
BOI-2023,deepseek-reasoner,60,49.95%,0.44,1.03,0.00%
BOI-2024,deepseek-reasoner,113,40.39%,0.43,7.24,0.00%
BOI-2025,deepseek-reasoner,100,24.36%,0.57,40.34,16.67%
CCO-2023,deepseek-reasoner,142,58.49%,0.76,7.85,50.00%
CCO-2024,deepseek-reasoner,155,57.95%,0.44,13.92,56.25%
CEOI-2023,deepseek-reasoner,10,5.97%,1.44,4.03,0.00%
CEOI-2024,deepseek-reasoner,30,42.07%,0.69,70.34,0.00%
COCI-2023,deepseek-reasoner,1375,65.40%,0.30,13.47,56.00%
COCI-2024,deepseek-reasoner,1114,60.94%,0.44,13.14,52.00%
COCI-2025,deepseek-reasoner,871,55.12%,0.44,16.11,36.00%
EGOI-2023,deepseek-reasoner,200,25.71%,0.50,4.04,25.00%
EGOI-2024,deepseek-reasoner,171,36.01%,0.09,6.50,12.50%
EJOI-2023,deepseek-reasoner,107,22.75%,0.50,435.60,0.00%
EJOI-2024,deepseek-reasoner,171,43.19%,0.73,37.18,16.67%
IATI-2024,deepseek-reasoner,285,29.86%,0.21,8.40,18.18%
IOI-2023,deepseek-reasoner,13,9.81%,0.34,12.89,0.00%
IOI-2024,deepseek-reasoner,120,44.63%,1.09,13.28,0.00%
JOI-2023,deepseek-reasoner,433,43.81%,1.17,9.91,10.00%
JOI-2024,deepseek-reasoner,196,21.20%,0.36,5.78,5.00%
JOI-2025,deepseek-reasoner,103,31.15%,0.15,10.03,20.00%
NOINordic-2023,deepseek-reasoner,300,100.00%,0.42,50.36,100.00%
NOINordic-2024,deepseek-reasoner,17,36.02%,0.55,4.22,0.00%
NOINordic-2025,deepseek-reasoner,122,50.65%,1.86,14.48,33.33%
OOI-2023,deepseek-reasoner,667,51.29%,0.41,24.17,17.65%
OOI-2024,deepseek-reasoner,720,52.31%,0.74,20.85,29.41%
RMI-2023,deepseek-reasoner,68,32.08%,0.94,15.05,0.00%
RMI-2024,deepseek-reasoner,102,31.54%,0.45,60.01,0.00%
USACO-2023,deepseek-reasoner,8134,54.75%,1.05,20.58,41.67%
USACO-2024,deepseek-reasoner,6955,47.03%,0.67,23.30,31.25%
USACO-2025,deepseek-reasoner,5023,44.91%,0.62,14.88,36.11%
