problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,100.00%,0.110,5.109375,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,2,13.33%,15.71%,0.070,3.62109375,,2,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,2.00%,0.050,3.61328125,,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,2,13.33%,26.55%,1.210,8.96875,,2,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,1.070,91.1875,,5,5,7,8,0,0,0
d1p2,ACCEPTED,25,100.00%,100.00%,0.660,130.9765625,,3,4,5,6,7,0,0
d1p3,TIME_LIMIT_EXCEEDED,0,0.00%,0.85%,7.210,1227.71875,,0,0,0,0,0,0,0
d2p1,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,7,28.00%,46.37%,4.830,12.8984375,,3,4,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,5,20.00%,32.18%,4.820,5.16015625,,3,2,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.060,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,100.00%,0.050,2.265625,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.050,1.55078125,,1,4,5,5,0,0,0
TOTAL,,171,,63.98%,,,56.25%,,,,,,,
