problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,ACCEPTED,50,100.00%,100.00%,0.000,0,,9,19,22,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.060,0,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.060,0.00390625,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.640,117.89453125,,21,37,22,40,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,100.00%,0.160,3.359375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.360,20.4375,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,20,16.67%,42.55%,2.410,3.16015625,,20,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,1.810,222.49609375,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.070,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.100,3.90625,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,ACCEPTED,120,100.00%,100.00%,0.380,21.8984375,,17,27,37,24,15,0
tura,ACCEPTED,120,100.00%,100.00%,0.070,5.9296875,,11,41,68,0,0,0
paradoks,ACCEPTED,50,100.00%,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,100.00%,0.100,1.55859375,,6,13,23,28,0,0
razlicitost,MEMORY_LIMIT_EXCEEDED,47,52.22%,74.42%,0.520,28.875,,25,13,9,0,0,0
blistavost,ACCEPTED,120,100.00%,100.00%,0.290,2.56640625,,20,25,55,20,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.96%,0.090,6.9609375,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.140,12.125,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.340,29.91015625,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,35,29.17%,32.79%,0.420,53.17578125,,0,0,35,0,0,0
zbunjenost,ACCEPTED,120,100.00%,100.00%,0.380,106.6875,,13,18,34,15,40,0
TOTAL,,1615,,79.26%,,,72.00%,,,,,,
