problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,ACCEPTED,15,100.00%,100.00%,0.050,3.01953125,,3,3,5,4,0,0,0,0
s2,TIME_LIMIT_EXCEEDED,5,33.33%,38.71%,1.210,0.00390625,,5,0,0,0,0,0,0,0
s3,RUNTIME_ERROR,0,0.00%,10.71%,0.040,5.16015625,,0,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,1.47%,0.060,1.80859375,,0,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,0,0.00%,1.56%,1.800,5.41015625,,0,0,0,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,10,40.00%,47.14%,1.210,9.03125,,3,3,4,0,0,0,0,0
d1p2,TIME_LIMIT_EXCEEDED,0,0.00%,1.90%,5.980,16.59375,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,4.81%,0.560,75.9375,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,4.00%,29.46%,0.040,1.75390625,,1,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,2,8.00%,9.38%,2.410,59.859375,,2,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,0.00%,3.77%,1.210,15.47265625,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,ACCEPTED,15,100.00%,100.00%,0.050,3.10546875,,3,3,5,4,0,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,2,2,2,9,0,0,0,0
TOTAL,,108,,46.81%,,,37.50%,,,,,,,,
