competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gpt-4.1,18573,36.22%,0.93,57.13,14.56%
APIO-2023,gpt-4.1,112,44.73%,1.66,238.38,0.00%
APIO-2024,gpt-4.1,19,10.12%,0.13,8.61,0.00%
BOI-2023,gpt-4.1,47,28.65%,1.80,227.76,0.00%
BOI-2024,gpt-4.1,84,47.32%,1.18,59.49,0.00%
BOI-2025,gpt-4.1,47,20.95%,1.07,42.92,0.00%
CCO-2023,gpt-4.1,108,46.81%,0.84,12.47,37.50%
CCO-2024,gpt-4.1,138,53.45%,0.44,24.22,50.00%
CEOI-2023,gpt-4.1,10,7.09%,1.34,44.99,0.00%
CEOI-2024,gpt-4.1,100,50.77%,1.58,93.62,0.00%
COCI-2023,gpt-4.1,1043,51.58%,0.72,9.26,44.00%
COCI-2024,gpt-4.1,1045,57.51%,0.58,32.47,48.00%
COCI-2025,gpt-4.1,939,54.98%,0.68,33.07,40.00%
EGOI-2023,gpt-4.1,258,38.98%,0.24,117.80,25.00%
EGOI-2024,gpt-4.1,39,23.14%,0.07,35.07,0.00%
EJOI-2023,gpt-4.1,14,9.71%,0.77,55.58,0.00%
EJOI-2024,gpt-4.1,189,40.17%,0.78,78.63,16.67%
IATI-2024,gpt-4.1,271,29.51%,0.54,44.14,18.18%
IOI-2023,gpt-4.1,32,11.26%,0.37,15.08,0.00%
IOI-2024,gpt-4.1,42,20.06%,0.50,63.31,0.00%
JOI-2023,gpt-4.1,116,36.84%,1.29,34.21,0.00%
JOI-2024,gpt-4.1,101,20.97%,0.94,28.31,0.00%
JOI-2025,gpt-4.1,160,43.87%,0.98,23.96,20.00%
NOINordic-2023,gpt-4.1,229,91.17%,0.63,140.70,66.67%
NOINordic-2024,gpt-4.1,125,58.71%,0.63,16.65,33.33%
NOINordic-2025,gpt-4.1,116,54.10%,4.08,17.08,0.00%
OOI-2023,gpt-4.1,539,43.03%,0.69,85.01,5.88%
OOI-2024,gpt-4.1,428,37.99%,1.11,30.37,17.65%
RMI-2023,gpt-4.1,9,7.09%,0.02,0.27,0.00%
RMI-2024,gpt-4.1,49,24.94%,0.79,86.06,0.00%
USACO-2023,gpt-4.1,5642,39.54%,1.40,35.93,20.83%
USACO-2024,gpt-4.1,4745,34.36%,0.91,46.05,16.67%
USACO-2025,gpt-4.1,1777,19.66%,0.87,46.63,5.56%
