problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,ACCEPTED,15,100.00%,100.00%,0.050,2.84765625,,3,3,5,4,0,0,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.040,1.55859375,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,0,0.00%,13.10%,0.040,2.0703125,,0,0,0,0,0,0,0,0
s4,ACCEPTED,15,100.00%,100.00%,0.250,2.17578125,,3,6,6,0,0,0,0,0
s5,ACCEPTED,15,100.00%,100.00%,0.080,11.1484375,,3,4,8,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.060,10.0078125,,3,3,4,4,4,7,0,0
d1p2,RUNTIME_ERROR,0,0.00%,1.90%,0.110,17.0234375,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,6.73%,0.970,394.1953125,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,4.00%,29.46%,0.040,1.4921875,,1,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,11,44.00%,45.31%,0.120,21.4609375,,2,0,0,0,4,5,0,0
d2p3,ACCEPTED,25,100.00%,100.00%,0.160,22.69140625,,5,5,5,5,5,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,ACCEPTED,15,100.00%,100.00%,0.050,2.84765625,,3,3,5,4,0,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.000,0,,2,2,2,9,0,0,0,0
TOTAL,,197,,74.78%,,,68.75%,,,,,,,,
