problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8
2023-open-t1_Ancient_Machine_2,RUNTIME_ERROR,0,0.00%,0.00%,0.160,1.48828125,,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton,TIME_LIMIT_EXCEEDED,49,49.00%,92.40%,7.200,40.33203125,,4,12,8,8,17,0,0,0
2023-open-t3_Garden,ACCEPTED,100,100.00%,100.00%,0.620,26.24609375,,15,6,8,16,30,25,0,0
2023-sp_Two_Currencies,ACCEPTED,100,100.00%,100.00%,0.470,65.79296875,,10,28,30,32,0,0,0,0
2023-sp_Festivals_in_JOI_Kingdom_2,RUNTIME_ERROR,10,10.00%,71.91%,0.450,1.55078125,,5,5,0,0,0,0,0,0
2023-sp_Passport,RUNTIME_ERROR,6,6.00%,62.35%,0.190,31.9921875,,6,0,0,0,0,0,0,0
2023-sp_Belt_Conveyor,RUNTIME_ERROR,25,25.00%,61.76%,0.850,14.62890625,,1,14,10,0,0,0,0,0
2023-sp_Council,ACCEPTED,100,100.00%,100.00%,0.550,190.46875,,8,8,6,19,15,22,22,0
2023-sp_Mizuyokan_2,RUNTIME_ERROR,0,0.00%,0.00%,0.170,10.30859375,,0,0,0,0,0,0,0,0
2023-sp_Chorus,RUNTIME_ERROR,0,0.00%,27.47%,0.000,0,,0,0,0,0,0,0,0,0
2023-sp_Cookies,RUNTIME_ERROR,0,0.00%,18.92%,0.000,0,,0,0,0,0,0,0,0,0
2023-sp_Tourism,ACCEPTED,100,100.00%,100.00%,4.010,33.03125,,5,5,7,18,24,41,0,0
2023-sp_Super_Dango_Maker,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2023-sp_Security_Guard,RUNTIME_ERROR,50,50.00%,78.68%,0.280,31.84375,,12,13,12,13,0,0,0,0
2023-ho-t1_Stone_Arranging_2,ACCEPTED,100,100.00%,100.00%,0.190,12.8984375,,25,35,40,0,0,0,0,0
2023-ho-t2_Advertisement_2,ACCEPTED,100,100.00%,100.00%,0.240,9.03125,,10,23,36,31,0,0,0,0
2023-ho-t3_Maze,RUNTIME_ERROR,8,8.00%,43.10%,0.170,9.28515625,,8,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise,ACCEPTED,100,100.00%,100.00%,0.300,31.85546875,,7,7,7,10,20,23,26,0
2023-ho-t5_Modern_Machine,TIME_LIMIT_EXCEEDED,3,3.00%,45.36%,2.980,1.80859375,,3,0,0,0,0,0,0,0
TOTAL,,851,,63.26%,,,36.84%,,,,,,,,
