problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,gpt-5,ACCEPTED,100,100.00%,100.00%,0.470,65.79296875
2023-sp_Festivals_in_JOI_Kingdom_2,gpt-5,RUNTIME_ERROR,10,10.00%,71.91%,0.450,1.55078125
2023-sp_Passport,gpt-5,RUNTIME_ERROR,6,6.00%,62.35%,0.190,31.9921875
2023-sp_Belt_Conveyor,gpt-5,RUNTIME_ERROR,25,25.00%,61.76%,0.850,14.62890625
2023-sp_Council,gpt-5,ACCEPTED,100,100.00%,100.00%,0.550,190.46875
2023-sp_Mizuyokan_2,gpt-5,RUNTIME_ERROR,0,0.00%,0.00%,0.170,10.30859375
2023-sp_Chorus,gpt-5,RUNTIME_ERROR,0,0.00%,27.47%,0.000,0
2023-sp_Cookies,gpt-5,RUNTIME_ERROR,0,0.00%,18.92%,0.000,0
2023-sp_Tourism,gpt-5,ACCEPTED,100,100.00%,100.00%,4.010,33.03125
2023-sp_Super_Dango_Maker,gpt-5,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,gpt-5,RUNTIME_ERROR,50,50.00%,78.68%,0.280,31.84375
